fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.06625907868146896
1,S01,0,0,0.08614660799503326
1,S01,1,0,0.037180013954639435
1,S01,1,0,0.04670253396034241
1,S01,1,0,0.05326857417821884
1,S01,1,0,0.05973309278488159
1,S01,1,0,0.05847818776965141
1,S01,1,0,0.058934781700372696
1,S01,0,0,0.04050062224268913
1,S01,1,0,0.052867718040943146
1,S01,1,0,0.07032884657382965
1,S01,1,0,0.04053214192390442
1,S01,0,0,0.047863032668828964
1,S01,1,0,0.045682694762945175
1,S01,1,0,0.04622577503323555
2,S02,0,0,0.47476857900619507
2,S02,0,0,0.46234291791915894
2,S02,0,0,0.3581296503543854
2,S02,0,1,0.5763339400291443
2,S02,0,0,0.43654415011405945
2,S02,1,0,0.3774075210094452
2,S02,1,1,0.5293818116188049
3,S03,0,1,0.52830570936203
3,S03,0,0,0.4394688904285431
3,S03,0,0,0.4156816899776459
3,S03,0,0,0.4383218586444855
3,S03,1,0,0.4463886320590973
3,S03,0,0,0.49411675333976746
4,S05,0,0,0.4609890580177307
4,S05,1,0,0.47174349427223206
4,S05,0,0,0.30174118280410767
4,S05,1,0,0.4131844937801361
4,S05,1,0,0.46217620372772217
4,S05,1,0,0.31705257296562195
4,S05,1,0,0.46633753180503845
4,S05,0,0,0.3486584722995758
5,S06,1,1,0.526105523109436
5,S06,0,0,0.4121832549571991
5,S06,1,0,0.4784718155860901
5,S06,1,0,0.4559687077999115
5,S06,0,0,0.4117196202278137
5,S06,0,0,0.4798480272293091
5,S06,1,0,0.4783249795436859
5,S06,0,1,0.5653614401817322
6,S07,0,1,0.5722513794898987
6,S07,1,1,0.6126750707626343
6,S07,0,1,0.5173390507698059
6,S07,0,1,0.5411101579666138
6,S07,0,0,0.46744006872177124
6,S07,1,1,0.556535542011261
6,S07,1,1,0.5982144474983215
7,S08,1,1,0.5476202368736267
7,S08,0,1,0.6059005260467529
7,S08,0,1,0.5029481053352356
7,S08,0,0,0.4882054626941681
7,S08,0,0,0.492819607257843
7,S08,1,0,0.4684252142906189
7,S08,0,1,0.5304701328277588
7,S08,1,0,0.46900010108947754
7,S08,0,1,0.5523000955581665
7,S08,0,1,0.5328595638275146
7,S08,0,1,0.544411301612854
7,S08,1,0,0.38282305002212524
7,S08,1,0,0.4832594692707062
7,S08,1,0,0.4470597803592682
7,S08,0,1,0.5998532772064209
7,S08,0,1,0.5159675478935242
8,S09,0,1,0.5227866768836975
8,S09,1,0,0.404351145029068
8,S09,1,0,0.3970242142677307
8,S09,0,0,0.3637651801109314
8,S09,1,0,0.47863292694091797
8,S09,1,0,0.36914512515068054
8,S09,1,1,0.611415684223175
8,S09,1,0,0.4969518482685089
8,S09,1,0,0.46491721272468567
8,S09,1,0,0.4382864236831665
9,S10,0,0,0.48163706064224243
9,S10,0,0,0.45200005173683167
9,S10,0,1,0.5078431963920593
9,S10,0,1,0.5042608380317688
9,S10,0,0,0.4796437919139862
9,S10,1,0,0.44832897186279297
9,S10,0,0,0.4639677107334137
9,S10,1,0,0.39545315504074097
9,S10,0,1,0.5894510746002197
9,S10,1,0,0.46834099292755127
9,S10,0,1,0.5287451148033142
9,S10,1,0,0.43845877051353455
10,S12,0,1,0.5337278246879578
10,S12,1,1,0.5158290863037109
10,S12,1,0,0.42035114765167236
10,S12,1,1,0.5889503359794617
10,S12,0,1,0.5699564814567566
10,S12,1,0,0.4968034625053406
10,S12,1,1,0.637802004814148
11,S13,0,1,0.5795584917068481
11,S13,0,1,0.5268632173538208
11,S13,0,0,0.4616038203239441
11,S13,0,0,0.4915504455566406
11,S13,1,1,0.5475375652313232
11,S13,1,0,0.4964379370212555
12,S14,1,1,0.5980247259140015
12,S14,0,1,0.6302347183227539
12,S14,1,1,0.681858479976654
12,S14,0,1,0.5119590759277344
12,S14,1,0,0.3099193274974823
