fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.007350938860327005
1,S01,0,0,0.00012918277934659272
1,S01,1,0,0.017431078478693962
1,S01,1,0,0.08963033556938171
1,S01,1,0,0.0003714904305525124
1,S01,1,1,0.937559962272644
1,S01,1,1,0.787079393863678
1,S01,1,1,0.5394638776779175
1,S01,0,0,0.013820050284266472
1,S01,1,0,0.0016233331989496946
1,S01,1,0,0.0007436419255100191
1,S01,1,0,0.09822722524404526
1,S01,0,0,0.06868356466293335
1,S01,1,0,0.01685568131506443
1,S01,1,0,0.33173105120658875
2,S02,0,0,0.04540691152215004
2,S02,0,1,0.9638908505439758
2,S02,0,1,0.8144962787628174
2,S02,0,0,0.36405572295188904
2,S02,0,0,0.1142718717455864
2,S02,1,1,0.5016855597496033
2,S02,1,0,0.19547995924949646
3,S03,0,1,0.7377839684486389
3,S03,0,1,0.9853445887565613
3,S03,0,1,0.9977084398269653
3,S03,0,1,0.9997110962867737
3,S03,1,1,0.9595125913619995
3,S03,0,1,0.9245269298553467
4,S05,0,1,0.5006418824195862
4,S05,1,0,0.017751600593328476
4,S05,0,1,0.9976697564125061
4,S05,1,0,0.0014050196623429656
4,S05,1,1,0.996970534324646
4,S05,1,1,0.9976869821548462
4,S05,1,0,0.003994188271462917
4,S05,0,1,0.9847661256790161
5,S06,1,1,0.9938086867332458
5,S06,0,1,0.9999213218688965
5,S06,1,1,0.998487114906311
5,S06,1,1,0.9983248114585876
5,S06,0,1,0.999862551689148
5,S06,0,1,0.9999812841415405
5,S06,1,1,0.9999114274978638
5,S06,0,1,0.9989696741104126
6,S07,0,1,0.9996342658996582
6,S07,1,1,0.9995973706245422
6,S07,0,1,0.999893069267273
6,S07,0,1,0.9999990463256836
6,S07,0,1,0.9997768998146057
6,S07,1,1,0.9911449551582336
6,S07,1,1,0.9999927282333374
7,S08,1,0,0.2753739655017853
7,S08,0,0,0.346958190202713
7,S08,0,1,0.5364708304405212
7,S08,0,0,0.26062992215156555
7,S08,0,0,0.1863674521446228
7,S08,1,0,0.12797223031520844
7,S08,0,0,0.054708193987607956
7,S08,1,0,0.1521734744310379
7,S08,0,0,0.0798385962843895
7,S08,0,0,0.1419256180524826
7,S08,0,0,0.11825195699930191
7,S08,1,0,0.31860730051994324
7,S08,1,0,0.15113477408885956
7,S08,1,0,0.05499482899904251
7,S08,0,0,0.39634716510772705
7,S08,0,0,0.22715024650096893
8,S09,0,0,0.008498206734657288
8,S09,1,0,0.0013279459672048688
8,S09,1,0,0.0015193948056548834
8,S09,0,0,0.0007292196969501674
8,S09,1,0,0.0008384598768316209
8,S09,1,0,0.002915858058258891
8,S09,1,0,0.0005102170980535448
8,S09,1,0,0.0005749708507210016
8,S09,1,0,0.000942082260735333
8,S09,1,0,0.0005772881559096277
9,S10,0,1,0.9984263181686401
9,S10,0,1,0.9528177976608276
9,S10,0,0,0.2890704870223999
9,S10,0,1,0.9997151494026184
9,S10,0,1,0.9570923447608948
9,S10,1,1,0.8905027508735657
9,S10,0,1,0.9990668892860413
9,S10,1,1,0.9993932247161865
9,S10,0,1,0.9998308420181274
9,S10,1,1,0.9999839067459106
9,S10,0,1,0.9998350143432617
9,S10,1,1,0.9168259501457214
10,S12,0,1,0.9999991655349731
10,S12,1,1,0.9999788999557495
10,S12,1,1,0.9884899258613586
10,S12,1,1,0.8411286473274231
10,S12,0,1,0.9843822121620178
10,S12,1,1,0.9999607801437378
10,S12,1,1,0.9997778534889221
11,S13,0,0,0.002738481154665351
11,S13,0,0,0.4442490041255951
11,S13,0,1,0.935019850730896
11,S13,0,0,0.11214147508144379
11,S13,1,1,0.8954686522483826
11,S13,1,1,0.7403705716133118
12,S14,1,0,0.0003685388364829123
12,S14,0,1,0.9884465932846069
12,S14,1,0,0.0610603392124176
12,S14,0,0,0.004312349017709494
12,S14,1,1,0.9988262057304382
12,S14,1,0,3.1098890758585185e-05
12,S14,1,1,0.9893102645874023
12,S14,1,1,0.6105345487594604
13,S15,0,0,9.198171937896404e-06
13,S15,0,0,0.00029301588074304163
13,S15,0,0,0.0146814975887537
13,S15,1,0,0.37477874755859375
13,S15,1,0,0.04951760917901993
13,S15,1,0,0.3072141706943512
14,S16,0,1,0.9956507086753845
14,S16,0,0,9.385171870235354e-05
14,S16,0,0,0.3908964991569519
14,S16,0,0,0.00387745862826705
14,S16,0,1,0.5011737942695618
14,S16,0,0,0.030089717358350754
14,S16,0,1,0.9917343854904175
14,S16,0,1,0.9997156262397766
15,S17,0,0,0.34392279386520386
15,S17,1,1,0.9871801733970642
15,S17,1,1,0.9999216794967651
15,S17,1,1,0.9908520579338074
15,S17,0,1,0.8353366851806641
15,S17,1,1,0.9994168281555176
15,S17,1,1,0.9987605810165405
16,S18,0,0,0.01259951014071703
16,S18,1,0,0.2502567768096924
16,S18,0,1,0.5130341649055481
16,S18,0,0,0.010549802333116531
16,S18,0,0,0.0006622876971960068
16,S18,1,0,0.09512688964605331
16,S18,0,0,0.05977616086602211
16,S18,1,0,0.00018140979227609932
16,S18,0,1,0.9962921142578125
16,S18,1,1,0.9654455780982971
16,S18,0,0,0.053393397480249405
16,S18,1,1,0.94729083776474
16,S18,1,1,0.9971420168876648
16,S18,1,0,0.10826534777879715
17,S19,0,0,0.019205771386623383
17,S19,0,0,0.00013674252841155976
17,S19,0,0,1.8988613703641022e-07
17,S19,1,1,0.9972983002662659
17,S19,0,0,4.6294591271589525e-08
17,S19,0,0,3.224884130759165e-05
17,S19,0,0,3.5953289625467733e-06
17,S19,0,0,9.862823935691267e-05
17,S19,1,0,2.541000139899552e-05
17,S19,0,0,9.099844078264141e-08
17,S19,0,0,0.0011684797937050462
17,S19,1,0,5.49074393347837e-05
17,S19,0,0,1.9269054973847233e-05
17,S19,1,0,3.954566182073904e-06
17,S19,1,0,3.3231965062441304e-05
17,S19,1,0,1.2128769810715312e-07
17,S19,1,0,0.0027096415869891644
18,S20,0,1,0.999816358089447
18,S20,0,1,0.9954232573509216
18,S20,0,1,0.9994823932647705
18,S20,0,0,0.3329181671142578
18,S20,0,1,0.999896764755249
18,S20,1,1,0.9971967935562134
18,S20,1,0,0.3102322220802307
19,S21,0,1,0.9984538555145264
19,S21,0,1,0.9999902248382568
19,S21,0,0,0.0005650747334584594
19,S21,0,1,0.844758152961731
19,S21,0,1,0.9998564720153809
19,S21,1,1,0.9999929666519165
20,S22,1,0,0.0005256794975139201
20,S22,0,0,0.0037977751344442368
20,S22,1,0,0.015386161394417286
20,S22,1,0,0.1623593270778656
20,S22,1,1,0.7104359865188599
20,S22,1,0,0.08043389767408371
20,S22,1,1,0.9401670694351196
20,S22,1,1,0.6886688470840454
20,S22,1,1,0.827513575553894
20,S22,1,1,0.7490935325622559
20,S22,1,1,0.8903697729110718
20,S22,0,0,0.08252215385437012
20,S22,1,0,0.17085790634155273
20,S22,1,1,0.9856228828430176
21,S23,0,0,0.10547429323196411
21,S23,0,0,0.26030978560447693
21,S23,0,0,6.046908674761653e-05
21,S23,0,1,0.8520141839981079
21,S23,0,1,0.7864447236061096
21,S23,1,1,0.7876796722412109
21,S23,1,1,0.9959778189659119
21,S23,1,0,0.00016450529801659286
21,S23,1,0,4.653080759453587e-05
21,S23,1,1,0.9627701640129089
21,S23,1,0,0.0028139667119830847
21,S23,1,0,6.927387585164979e-05
22,S24,0,0,0.48276978731155396
22,S24,0,0,0.0074578262865543365
22,S24,0,0,0.03502287343144417
22,S24,0,1,0.9675409197807312
22,S24,0,0,0.00012874229287263006
22,S24,0,0,0.004615805111825466
22,S24,0,1,0.7786064147949219
22,S24,1,1,0.9628876447677612
22,S24,1,1,0.9790782332420349
22,S24,1,0,0.44847315549850464
22,S24,1,0,0.48713669180870056
22,S24,1,1,0.9998201727867126
22,S24,0,1,0.5051988959312439
23,S25,0,0,0.20638999342918396
23,S25,0,1,0.996612012386322
23,S25,1,1,0.9440268278121948
23,S25,0,0,0.012767696753144264
23,S25,0,0,0.00044656835962086916
23,S25,1,1,0.9560960531234741
23,S25,1,0,0.016946787014603615
23,S25,1,1,0.8503936529159546
23,S25,1,1,0.9337769746780396
23,S25,1,0,0.4600461423397064
23,S25,1,0,0.28211095929145813
23,S25,0,0,0.003827218897640705
23,S25,0,0,0.0001634201325941831
23,S25,1,1,0.9630031585693359
24,S26,0,0,0.01210129726678133
24,S26,0,1,0.614262044429779
