fold,test_subject,y_true,y_pred,p1
1,S01,0,1,0.9723462462425232
1,S01,0,0,0.00015285650442820042
1,S01,1,1,0.9999812841415405
1,S01,1,1,0.6709551215171814
1,S01,1,1,0.9998816251754761
1,S01,1,1,0.9999643564224243
1,S01,1,1,0.5770582556724548
1,S01,1,1,0.999873161315918
1,S01,0,0,0.13109348714351654
1,S01,1,1,0.9865463972091675
1,S01,1,1,0.8863928914070129
1,S01,1,1,0.9991900324821472
1,S01,0,1,0.9999624490737915
1,S01,1,1,0.999970555305481
1,S01,1,0,0.18185755610466003
2,S02,0,1,0.9988816380500793
2,S02,0,0,0.39533862471580505
2,S02,0,0,4.8642676119925454e-05
2,S02,0,0,0.00012065930059179664
2,S02,0,0,0.09720832854509354
2,S02,1,1,0.9958367347717285
2,S02,1,0,0.010260115377604961
3,S03,0,1,0.8531563878059387
3,S03,0,0,0.008437955752015114
3,S03,0,1,0.7816944718360901
3,S03,0,0,4.9572368880035356e-05
3,S03,1,1,0.9213967323303223
3,S03,0,0,3.07344198517967e-05
4,S05,0,0,0.006153721362352371
4,S05,1,0,6.825603486504406e-05
4,S05,0,0,0.006722040940076113
4,S05,1,0,0.008233228698372841
4,S05,1,1,0.9985255599021912
4,S05,1,0,0.4874766170978546
4,S05,1,0,3.4363267332082614e-05
4,S05,0,1,0.9811567664146423
5,S06,1,0,0.0009399421978741884
5,S06,0,1,0.9804472923278809
5,S06,1,0,0.011405003257095814
5,S06,1,1,0.9951013922691345
5,S06,0,0,0.022448910400271416
5,S06,0,1,0.6087965965270996
5,S06,1,1,0.7158608436584473
5,S06,0,1,0.9813650250434875
6,S07,0,0,0.003028583712875843
6,S07,1,1,0.9796276092529297
6,S07,0,0,0.25281283259391785
6,S07,0,1,0.9999291896820068
6,S07,0,0,0.0037329490296542645
6,S07,1,1,0.9998914003372192
6,S07,1,0,4.327973147155717e-05
7,S08,1,1,0.7920105457305908
7,S08,0,1,0.9992344379425049
7,S08,0,1,0.9982885718345642
7,S08,0,0,0.018623048439621925
7,S08,0,0,0.023201733827590942
7,S08,1,0,0.005296262446790934
7,S08,0,0,9.997683082474396e-05
7,S08,1,1,0.9873537421226501
7,S08,0,0,0.1997719258069992
7,S08,0,0,0.04567573964595795
7,S08,0,0,0.0042474824003875256
7,S08,1,0,0.0002390758745605126
7,S08,1,0,0.00013406107609625906
7,S08,1,0,0.0688859075307846
7,S08,0,0,0.3173113763332367
7,S08,0,0,7.380899478448555e-05
8,S09,0,0,0.00012953186524100602
8,S09,1,0,0.02168998494744301
8,S09,1,0,0.002458366099745035
8,S09,0,0,0.00030127339414320886
8,S09,1,1,0.9996395111083984
8,S09,1,0,0.450096994638443
8,S09,1,0,0.20591378211975098
8,S09,1,0,0.0020231246016919613
8,S09,1,0,0.00013441502233035862
8,S09,1,0,5.12709011672996e-05
9,S10,0,0,0.0006489627412520349
9,S10,0,0,0.02258666232228279
9,S10,0,1,0.9996144771575928
9,S10,0,0,0.0015251588774845004
9,S10,0,1,0.575371503829956
9,S10,1,0,0.0033412675838917494
9,S10,0,0,0.00046860513975843787
9,S10,1,1,0.9953658580780029
9,S10,0,0,0.00432922225445509
9,S10,1,0,0.00454142689704895
9,S10,0,1,0.9839350581169128
9,S10,1,0,4.824280404136516e-05
10,S12,0,1,0.9999922513961792
10,S12,1,1,0.9998087286949158
