fold,test_subject,y_true,y_pred,p1
1,S01,0,0,4.0860285821509024e-08
1,S01,0,0,2.5230493250205654e-08
1,S01,1,1,0.9999977350234985
1,S01,1,1,0.8458324670791626
1,S01,1,0,0.030817590653896332
1,S01,1,1,1.0
1,S01,1,1,1.0
1,S01,1,1,1.0
1,S01,0,1,0.9974111914634705
1,S01,1,1,0.9999996423721313
1,S01,1,0,0.027165483683347702
1,S01,1,1,0.9999923706054688
1,S01,0,1,0.9999994039535522
1,S01,1,1,0.9999992847442627
1,S01,1,1,0.9999997615814209
2,S02,0,0,0.012486642226576805
2,S02,0,0,0.002828346798196435
2,S02,0,1,0.9216129779815674
2,S02,0,1,0.9892205595970154
2,S02,0,0,0.0009393870132043958
2,S02,1,1,0.9999216794967651
2,S02,1,1,0.9428558945655823
3,S03,0,0,1.0338115252750413e-08
3,S03,0,0,9.392121746998328e-09
3,S03,0,0,2.8885827063618308e-08
3,S03,0,1,0.9994667172431946
3,S03,1,0,1.121639670031982e-08
3,S03,0,1,0.9941317439079285
4,S05,0,1,0.9969460368156433
4,S05,1,1,0.8928150534629822
4,S05,0,0,1.154620463239553e-06
4,S05,1,1,0.9999449253082275
4,S05,1,1,1.0
4,S05,1,1,0.9999997615814209
4,S05,1,0,0.0004266281903255731
4,S05,0,1,0.9998692274093628
5,S06,1,1,0.9999957084655762
5,S06,0,1,0.9993507266044617
5,S06,1,1,0.9914296269416809
5,S06,1,0,3.6813261772294936e-07
5,S06,0,0,2.686247224659155e-09
5,S06,0,0,7.992139217094518e-08
5,S06,1,0,0.059690751135349274
5,S06,0,1,0.9999808073043823
6,S07,0,1,0.999334990978241
6,S07,1,1,0.6389109492301941
6,S07,0,0,7.119211659301072e-05
6,S07,0,0,0.020184913650155067
6,S07,0,0,4.862548141915113e-10
6,S07,1,1,0.9872747659683228
6,S07,1,1,0.9999536275863647
7,S08,1,0,0.1611262410879135
7,S08,0,1,1.0
7,S08,0,1,0.9983975291252136
7,S08,0,1,1.0
7,S08,0,1,0.9999954700469971
7,S08,1,1,1.0
7,S08,0,0,5.6733275414444506e-05
7,S08,1,1,1.0
7,S08,0,0,0.004707904998213053
7,S08,0,0,0.20623449981212616
7,S08,0,0,0.000316044082865119
7,S08,1,0,0.3712863326072693
7,S08,1,1,1.0
7,S08,1,1,1.0
7,S08,0,1,1.0
7,S08,0,1,1.0
8,S09,0,0,0.005070964340120554
8,S09,1,1,0.7818079590797424
8,S09,1,1,0.9999998807907104
8,S09,0,1,0.9999953508377075
8,S09,1,1,0.9959512948989868
8,S09,1,0,3.7216083001112565e-05
8,S09,1,1,0.9999768733978271
8,S09,1,1,0.9997184872627258
8,S09,1,1,0.9996945858001709
8,S09,1,1,0.9919762015342712
9,S10,0,0,6.223013571116098e-08
9,S10,0,0,9.248163346242677e-10
9,S10,0,0,7.109858035647676e-09
9,S10,0,0,0.28633177280426025
9,S10,0,0,2.781298524823228e-09
9,S10,1,0,0.002600348088890314
9,S10,0,0,1.9361861003375225e-09
9,S10,1,1,0.9999834299087524
9,S10,0,0,8.378515872209391e-07
9,S10,1,1,0.9885742664337158
9,S10,0,0,0.001108398544602096
9,S10,1,1,1.0
10,S12,0,0,2.2724347218172625e-05
10,S12,1,0,0.03251899778842926
10,S12,1,1,0.9876272082328796
10,S12,1,0,2.780670183710754e-05
10,S12,0,0,2.7915360689689805e-08
10,S12,1,0,5.1399752010183875e-06
10,S12,1,0,7.1531150069859e-07
11,S13,0,0,3.762544498187026e-09
11,S13,0,0,2.0217270080280514e-09
11,S13,0,0,7.864838558191423e-09
11,S13,0,0,1.5498317296192e-08
11,S13,1,0,0.026420054957270622
11,S13,1,1,0.9999995231628418
12,S14,1,0,0.0010565203847363591
12,S14,0,0,2.7551006181320004e-12
12,S14,1,0,5.955407118563016e-07
12,S14,0,0,1.636456642666994e-14
12,S14,1,1,0.9999983310699463
12,S14,1,1,0.9999947547912598
12,S14,1,1,0.9999998807907104
12,S14,1,1,0.9826024770736694
13,S15,0,0,6.025296528378021e-08
13,S15,0,0,3.3656814224514164e-08
13,S15,0,0,7.280472891224576e-10
13,S15,1,1,0.9993742108345032
13,S15,1,0,2.434666612316505e-06
13,S15,1,1,0.9999567270278931
14,S16,0,0,5.851527595801542e-11
14,S16,0,0,5.92285031783546e-12
14,S16,0,0,0.21579785645008087
14,S16,0,0,5.013422402916357e-13
14,S16,0,0,2.3652536092905185e-12
14,S16,0,0,1.559044164878287e-07
14,S16,0,0,0.09551800787448883
14,S16,0,0,5.814077951721286e-12
15,S17,0,0,2.7526439794200996e-07
15,S17,1,1,0.9999996423721313
15,S17,1,1,0.9999995231628418
15,S17,1,1,0.9997101426124573
15,S17,0,0,1.4491618003376061e-06
15,S17,1,1,0.9999997615814209
15,S17,1,1,0.804266631603241
16,S18,0,0,0.00020099517132621258
16,S18,1,1,0.9999394416809082
16,S18,0,0,2.4766402817455457e-10
16,S18,0,0,1.1423976076230247e-07
16,S18,0,0,2.6139220996035384e-11
16,S18,1,0,1.321349486715917e-06
16,S18,0,0,3.940603221508354e-08
16,S18,1,1,0.9993547797203064
16,S18,0,1,0.9985591769218445
16,S18,1,1,0.9999998807907104
16,S18,0,0,1.6334691932406997e-10
16,S18,1,1,1.0
16,S18,1,1,0.9754332304000854
16,S18,1,0,0.0022615992929786444
17,S19,0,0,1.05748813439277e-06
17,S19,0,0,0.06607544422149658
17,S19,0,0,3.1088407403956353e-09
17,S19,1,1,0.9999998807907104
17,S19,0,0,1.962576061487198e-05
17,S19,0,1,0.9999998807907104
17,S19,0,0,0.0012256217887625098
17,S19,0,1,0.9965607523918152
17,S19,1,1,0.9999988079071045
17,S19,0,0,2.726678605124988e-11
17,S19,0,1,0.9997803568840027
17,S19,1,0,0.13715654611587524
17,S19,0,0,0.00010650246986187994
17,S19,1,0,0.0009098683949559927
17,S19,1,1,1.0
17,S19,1,1,0.8559272885322571
17,S19,1,1,1.0
18,S20,0,0,4.2946432000923185e-12
18,S20,0,0,2.023183010013696e-11
18,S20,0,0,2.060643566892395e-08
18,S20,0,0,1.903266522162994e-08
18,S20,0,0,2.524162129313723e-11
18,S20,1,0,9.447504999116063e-05
18,S20,1,1,0.9999992847442627
19,S21,0,0,2.21765290575604e-08
19,S21,0,0,1.0566554919932969e-06
19,S21,0,0,2.375906582585685e-08
19,S21,0,0,0.002680813428014517
19,S21,0,0,4.888048188433913e-09
19,S21,1,0,0.0002503034193068743
20,S22,1,0,0.009056778624653816
20,S22,0,0,9.269395491173782e-07
20,S22,1,0,5.8092567201128986e-08
20,S22,1,0,2.1154726709937677e-05
20,S22,1,0,1.0472118816551301e-07
20,S22,1,0,1.658282144489931e-06
20,S22,1,1,0.9999938011169434
20,S22,1,1,0.9999969005584717
20,S22,1,1,0.9999998807907104
20,S22,1,1,0.9999241828918457
20,S22,1,1,0.986777663230896
20,S22,0,1,0.9985697269439697
20,S22,1,1,0.999990701675415
20,S22,1,1,0.9994156360626221
21,S23,0,0,6.468797941749926e-09
21,S23,0,0,1.2642403790508183e-09
21,S23,0,0,1.2351486153305835e-11
21,S23,0,1,0.8826346397399902
21,S23,0,0,2.271020093758125e-05
21,S23,1,0,0.44184091687202454
21,S23,1,1,1.0
21,S23,1,1,1.0
21,S23,1,1,0.9998534917831421
21,S23,1,1,0.9999998807907104
21,S23,1,1,1.0
21,S23,1,1,1.0
22,S24,0,0,6.389736517675715e-10
22,S24,0,0,1.1578755447771982e-06
22,S24,0,0,9.453962057648368e-10
22,S24,0,0,3.116596047902931e-08
22,S24,0,0,1.1044302972162967e-10
22,S24,0,0,5.614785858476523e-10
22,S24,0,0,0.008339445106685162
22,S24,1,1,0.9999997615814209
22,S24,1,1,0.9999997615814209
22,S24,1,1,1.0
22,S24,1,1,0.998970627784729
22,S24,1,1,1.0
22,S24,0,0,0.03739237040281296
23,S25,0,0,2.5123267732851673e-07
23,S25,0,0,0.0027796097565442324
23,S25,1,1,0.536708414554596
23,S25,0,1,0.9999979734420776
23,S25,0,0,0.0224906038492918
