fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.0044908421114087105
1,S01,0,0,0.004578503780066967
1,S01,1,1,0.995686948299408
1,S01,1,1,0.999430239200592
1,S01,1,1,0.9937785267829895
1,S01,1,1,0.9995500445365906
1,S01,1,1,0.9995638728141785
1,S01,1,0,0.07391021400690079
1,S01,0,1,0.999204695224762
1,S01,1,1,0.9994909763336182
1,S01,1,1,0.9990984201431274
1,S01,1,1,0.9989228844642639
1,S01,0,1,0.999528169631958
1,S01,1,1,0.999395489692688
1,S01,1,0,0.2480301707983017
2,S02,0,0,0.005974253173917532
2,S02,0,1,0.7034037709236145
2,S02,0,0,0.03485269472002983
2,S02,0,1,0.9977885484695435
2,S02,0,0,0.005851630121469498
2,S02,1,1,0.9750942587852478
2,S02,1,1,0.9982693195343018
3,S03,0,0,0.005837068427354097
3,S03,0,0,0.005916403140872717
3,S03,0,0,0.005516044329851866
3,S03,0,1,0.9982957243919373
3,S03,1,0,0.04693741351366043
3,S03,0,1,0.6482299566268921
4,S05,0,0,0.0006673993775621057
4,S05,1,0,0.005278558935970068
4,S05,0,0,0.0002915034128818661
4,S05,1,1,0.9737327098846436
4,S05,1,1,0.9966856837272644
4,S05,1,1,0.9861591458320618
4,S05,1,1,0.7107471823692322
4,S05,0,1,0.9631415009498596
5,S06,1,1,0.9999494552612305
5,S06,0,1,0.9999674558639526
5,S06,1,0,0.0016763085732236505
5,S06,1,0,0.001744509325362742
5,S06,0,0,0.0009531007381156087
5,S06,0,0,0.0033254448790103197
5,S06,1,1,0.9999611377716064
5,S06,0,1,0.9999523162841797
6,S07,0,1,0.996059775352478
6,S07,1,0,0.03481689468026161
6,S07,0,0,0.004084241110831499
6,S07,0,0,0.023297196254134178
6,S07,0,0,0.005462628323584795
6,S07,1,1,0.9992097616195679
6,S07,1,1,0.9953308701515198
7,S08,1,0,0.0001645587763050571
7,S08,0,1,0.9804816842079163
7,S08,0,1,0.9990363121032715
7,S08,0,1,0.9983581900596619
7,S08,0,1,0.88521409034729
7,S08,1,1,0.9980155229568481
7,S08,0,1,0.9922913908958435
7,S08,1,1,0.9990573525428772
7,S08,0,1,0.9962303042411804
7,S08,0,0,0.0033969171345233917
7,S08,0,1,0.9976571798324585
7,S08,1,1,0.9891471862792969
7,S08,1,1,0.9987429976463318
7,S08,1,1,0.9979152083396912
7,S08,0,1,0.9987736344337463
7,S08,0,1,0.9822906851768494
8,S09,0,0,0.004414271097630262
8,S09,1,1,0.9831051230430603
8,S09,1,1,0.9972898960113525
8,S09,0,1,0.9949172735214233
8,S09,1,1,0.9974689483642578
8,S09,1,1,0.9864078760147095
8,S09,1,0,0.1148577556014061
8,S09,1,1,0.9971684813499451
8,S09,1,1,0.9939473867416382
8,S09,1,1,0.9974808096885681
9,S10,0,0,0.0007131212623789907
9,S10,0,0,0.000529952347278595
9,S10,0,0,0.00021761184325441718
9,S10,0,0,0.00016808156215120107
9,S10,0,0,0.00013197098451200873
9,S10,1,0,3.425947579671629e-05
9,S10,0,0,0.0004048362316098064
9,S10,1,0,0.0008588151540607214
9,S10,0,0,0.00020498754747677594
9,S10,1,0,0.0003197768528480083
9,S10,0,0,0.00014489456953015178
9,S10,1,1,0.9984667301177979
10,S12,0,1,0.9951370358467102
