fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.0002826092822942883
1,S01,0,1,0.999127209186554
1,S01,1,1,0.9914798736572266
1,S01,1,0,0.21312548220157623
1,S01,1,0,0.06271923333406448
1,S01,1,0,0.0006616031168960035
1,S01,1,1,0.875054657459259
1,S01,1,0,0.00024138005392160267
1,S01,0,1,0.999731719493866
1,S01,1,1,0.9997299313545227
1,S01,1,1,0.9970007538795471
1,S01,1,0,0.0018011541105806828
1,S01,0,1,0.9690349698066711
1,S01,1,1,0.9997244477272034
1,S01,1,1,0.9997264742851257
2,S02,0,0,0.22065019607543945
2,S02,0,1,0.9980218410491943
2,S02,0,1,0.9987640380859375
2,S02,0,1,0.9966617822647095
2,S02,0,1,0.9989228844642639
2,S02,1,1,0.9988584518432617
2,S02,1,1,0.9985551238059998
3,S03,0,1,0.9997408986091614
3,S03,0,0,0.00025268664467148483
3,S03,0,1,0.9232379198074341
3,S03,0,0,0.00024050225329119712
3,S03,1,1,0.9997429251670837
3,S03,0,0,0.0038678916171193123
4,S05,0,1,0.9993934631347656
4,S05,1,0,0.0003963412600569427
4,S05,0,0,0.0004151560424361378
4,S05,1,0,0.00041559277451597154
4,S05,1,0,0.0005247348453849554
4,S05,1,0,0.0005636382848024368
4,S05,1,1,0.8936059474945068
4,S05,0,0,0.0009212141740135849
5,S06,1,0,0.0003054176631849259
5,S06,0,1,0.9997486472129822
5,S06,1,1,0.9997392296791077
5,S06,1,0,0.00030075167887844145
5,S06,0,0,0.00029890506993979216
5,S06,0,1,0.9992013573646545
5,S06,1,0,0.0004203137068543583
5,S06,0,1,0.9996927976608276
6,S07,0,1,0.9989020824432373
6,S07,1,1,0.9989035129547119
6,S07,0,0,0.004336654208600521
6,S07,0,1,0.9988980293273926
6,S07,0,1,0.998982846736908
6,S07,1,1,0.9981372356414795
6,S07,1,1,0.9979331493377686
7,S08,1,0,0.004363967105746269
7,S08,0,1,0.9944679737091064
7,S08,0,0,0.0014860400697216392
7,S08,0,0,0.013926777057349682
7,S08,0,0,0.001755996490828693
7,S08,1,0,0.0016903637442737818
7,S08,0,0,0.039006464183330536
7,S08,1,1,0.9982010126113892
7,S08,0,1,0.7551282048225403
7,S08,0,0,0.0015076114796102047
7,S08,0,0,0.001487032393924892
7,S08,1,0,0.001522849197499454
7,S08,1,1,0.8979434370994568
7,S08,1,1,0.9981908202171326
7,S08,0,1,0.9918867945671082
7,S08,0,1,0.9981043338775635
8,S09,0,1,0.8955368399620056
8,S09,1,1,0.9953075051307678
8,S09,1,1,0.9301041960716248
8,S09,0,0,0.006355311721563339
8,S09,1,0,0.005412152037024498
8,S09,1,1,0.9723073840141296
8,S09,1,0,0.010756466537714005
8,S09,1,0,0.0032812701538205147
8,S09,1,0,0.003910062834620476
8,S09,1,0,0.0041773575358092785
9,S10,0,0,0.0030590409878641367
9,S10,0,1,0.9975875616073608
9,S10,0,1,0.999612033367157
9,S10,0,1,0.9996193647384644
9,S10,0,0,0.06960548460483551
9,S10,1,0,0.025420477613806725
9,S10,0,1,0.9995912909507751
9,S10,1,0,0.0005756542668677866
9,S10,0,1,0.9996209144592285
9,S10,1,1,0.9942247271537781
9,S10,0,1,0.9972483515739441
9,S10,1,1,0.9993696808815002
10,S12,0,1,0.999697208404541
10,S12,1,0,0.0002642642939463258
10,S12,1,1,0.9859110116958618
10,S12,1,0,0.02126903459429741
10,S12,0,0,0.00023585904273204505
10,S12,1,0,0.0006374827935360372
10,S12,1,0,0.00023138089454732835
11,S13,0,1,0.9984379410743713
11,S13,0,1,0.9985582232475281
11,S13,0,1,0.5664554238319397
11,S13,0,0,0.4996916949748993
11,S13,1,1,0.9983261227607727
11,S13,1,1,0.998513400554657
12,S14,1,0,0.012678868137300014
12,S14,0,1,0.9992720484733582
12,S14,1,0,0.0035649745259433985
12,S14,0,0,0.07729560881853104
12,S14,1,1,0.9988535642623901
12,S14,1,0,0.0023711933754384518
12,S14,1,1,0.9993382096290588
12,S14,1,1,0.9960182309150696
13,S15,0,1,0.6306533813476562
13,S15,0,1,0.9989715814590454
13,S15,0,0,0.005311537999659777
13,S15,1,1,0.9909794330596924
13,S15,1,0,0.004987865686416626
13,S15,1,1,0.9131813645362854
14,S16,0,0,0.004815560765564442
14,S16,0,1,0.9994057416915894
14,S16,0,1,0.9987562894821167
14,S16,0,1,0.9995098114013672
14,S16,0,1,0.9994992017745972
14,S16,0,1,0.9822481274604797
