fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.021079089492559433
1,S01,0,1,0.7617226839065552
1,S01,1,0,0.30058372020721436
1,S01,1,0,0.3778602182865143
1,S01,1,0,0.04570688307285309
1,S01,1,1,0.9879762530326843
1,S01,1,1,0.9002928137779236
1,S01,1,0,0.2480441927909851
1,S01,0,1,0.8235188126564026
1,S01,1,1,0.9796083569526672
1,S01,1,0,0.01317657995969057
1,S01,1,0,0.14023932814598083
1,S01,0,0,0.028183074668049812
1,S01,1,0,0.0004188102320767939
1,S01,1,1,0.9224196672439575
2,S02,0,0,0.06136743351817131
2,S02,0,0,0.0030283317901194096
2,S02,0,0,0.4848637580871582
2,S02,0,0,0.0008593995589762926
2,S02,0,0,0.31180456280708313
2,S02,1,0,0.47760117053985596
2,S02,1,0,0.3830861747264862
3,S03,0,0,0.2681734561920166
3,S03,0,1,0.7514834403991699
3,S03,0,0,0.3566284775733948
3,S03,0,0,0.020985037088394165
3,S03,1,1,0.860774576663971
3,S03,0,0,0.018112843856215477
4,S05,0,0,0.1353091299533844
4,S05,1,0,0.2834652364253998
4,S05,0,0,0.33013224601745605
4,S05,1,0,0.28483161330223083
4,S05,1,1,0.858163058757782
4,S05,1,1,0.982509970664978
4,S05,1,0,0.02602093294262886
4,S05,0,1,0.9907582998275757
5,S06,1,1,0.9416574239730835
5,S06,0,1,0.7507928013801575
5,S06,1,0,0.2711814343929291
5,S06,1,1,0.8659718036651611
5,S06,0,0,0.15945589542388916
5,S06,0,0,0.08098606765270233
5,S06,1,1,0.9856680631637573
5,S06,0,1,0.7917225360870361
6,S07,0,0,0.014953258447349072
6,S07,1,1,0.7254945039749146
6,S07,0,0,0.09223930537700653
6,S07,0,0,0.44205498695373535
6,S07,0,0,5.706006777472794e-05
6,S07,1,0,0.24601015448570251
6,S07,1,0,0.40469101071357727
7,S08,1,0,0.009403182193636894
7,S08,0,0,0.0034772874787449837
7,S08,0,0,0.020336775109171867
7,S08,0,0,0.18418988585472107
7,S08,0,1,0.784299910068512
7,S08,1,0,0.3019861876964569
7,S08,0,0,0.17401520907878876
7,S08,1,1,0.6334384679794312
7,S08,0,1,0.8473987579345703
7,S08,0,0,0.3818766176700592
7,S08,0,0,0.4678799510002136
7,S08,1,1,0.9997727274894714
7,S08,1,0,0.08369283378124237
7,S08,1,0,0.31777605414390564
7,S08,0,1,0.5841972827911377
7,S08,0,0,0.0507998950779438
8,S09,0,0,0.09824524074792862
8,S09,1,0,0.2241949737071991
8,S09,1,0,0.2623652517795563
8,S09,0,0,0.03582731634378433
8,S09,1,1,0.6809840202331543
8,S09,1,0,0.22610485553741455
8,S09,1,0,0.37859755754470825
8,S09,1,1,0.9346027374267578
8,S09,1,0,0.07672439515590668
8,S09,1,1,0.6059910655021667
9,S10,0,1,0.999154806137085
9,S10,0,1,0.9848337173461914
9,S10,0,0,0.08585702627897263
9,S10,0,0,0.43471312522888184
9,S10,0,1,0.7585536241531372
9,S10,1,1,0.8098982572555542
9,S10,0,0,0.04555908590555191
9,S10,1,0,0.0009636639733798802
9,S10,0,0,0.1870371699333191
9,S10,1,1,0.9390231966972351
9,S10,0,1,0.5636641979217529
9,S10,1,0,0.16428609192371368
10,S12,0,0,0.4312908351421356
10,S12,1,0,0.01885187067091465
10,S12,1,1,0.8435314297676086
10,S12,1,0,0.010113283060491085
10,S12,0,1,0.9991291165351868
10,S12,1,0,0.012517155148088932
10,S12,1,0,0.005121926311403513
11,S13,0,1,0.9904143214225769
11,S13,0,1,0.8380370140075684
11,S13,0,1,0.8987104296684265
11,S13,0,0,0.19615904986858368
11,S13,1,0,0.43520963191986084
11,S13,1,1,0.9989656209945679
12,S14,1,0,0.08057205379009247
12,S14,0,0,0.027226483449339867
12,S14,1,1,0.846705436706543
12,S14,0,0,0.09691561758518219
12,S14,1,1,0.9663454294204712
12,S14,1,0,0.2077769786119461
12,S14,1,0,0.12518271803855896
12,S14,1,1,0.9296603798866272
13,S15,0,0,0.00028053924324922264
13,S15,0,1,0.9671081304550171
13,S15,0,1,0.6087669730186462
13,S15,1,1,0.9563112258911133
13,S15,1,1,0.92580246925354
13,S15,1,1,0.9975952506065369
14,S16,0,0,0.18680085241794586
14,S16,0,0,0.03232431784272194
14,S16,0,0,0.026697248220443726
14,S16,0,0,0.00025164103135466576
14,S16,0,0,0.002451913896948099
14,S16,0,1,0.5336553454399109
14,S16,0,1,0.9743363261222839
14,S16,0,0,0.07611267268657684
15,S17,0,1,0.990199863910675
15,S17,1,0,0.09176433086395264
15,S17,1,1,0.9988099336624146
15,S17,1,1,0.9185730814933777
15,S17,0,0,0.0019165492849424481
15,S17,1,0,0.4768470227718353
15,S17,1,0,0.48631563782691956
16,S18,0,0,0.0731944739818573
16,S18,1,0,0.01900309883058071
16,S18,0,0,0.00229961471632123
16,S18,0,0,0.09890472143888474
16,S18,0,0,0.2093120515346527
16,S18,1,1,0.937275767326355
16,S18,0,1,0.8876582384109497
16,S18,1,0,0.2621781826019287
16,S18,0,0,0.1785515695810318
16,S18,1,0,0.15389899909496307
16,S18,0,0,0.2928086817264557
16,S18,1,1,0.7954338788986206
16,S18,1,0,0.32924142479896545
16,S18,1,0,0.10321682691574097
17,S19,0,1,0.9966852068901062
17,S19,0,1,0.9794365763664246
17,S19,0,0,0.0987880602478981
17,S19,1,1,0.7413136959075928
17,S19,0,0,0.08853289484977722
17,S19,0,1,0.9974820017814636
17,S19,0,0,0.09379736334085464
17,S19,0,0,0.014572805725038052
17,S19,1,0,0.2928575873374939
17,S19,0,1,0.8934504389762878
17,S19,0,1,0.9143386483192444
17,S19,1,1,0.5029042363166809
17,S19,0,0,0.01706075109541416
17,S19,1,1,0.9677022099494934
17,S19,1,0,0.115717314183712
17,S19,1,1,0.9533016085624695
17,S19,1,1,0.9892654418945312
18,S20,0,0,0.02351178042590618
18,S20,0,0,0.02380676567554474
18,S20,0,0,0.10433290153741837
18,S20,0,0,0.07248426228761673
18,S20,0,0,0.10967350006103516
18,S20,1,1,0.8082602024078369
18,S20,1,0,0.061203308403491974
19,S21,0,1,0.5126134157180786
19,S21,0,0,0.08562097698450089
19,S21,0,0,0.01887001283466816
19,S21,0,1,0.6266639828681946
19,S21,0,0,0.013287045992910862
19,S21,1,1,0.517184317111969
20,S22,1,1,0.745805025100708
20,S22,0,0,0.4973054528236389
20,S22,1,0,0.00327881658449769
20,S22,1,0,0.030178336426615715
20,S22,1,0,0.034839335829019547
20,S22,1,1,0.5274184942245483
20,S22,1,0,0.023491550236940384
20,S22,1,1,0.774188756942749
20,S22,1,0,0.17453014850616455
20,S22,1,1,0.949959397315979
20,S22,1,0,4.6832010411890224e-05
20,S22,0,0,0.02214430458843708
20,S22,1,1,0.9980231523513794
20,S22,1,0,0.09322627633810043
21,S23,0,1,0.9693107604980469
21,S23,0,0,0.0007029065163806081
21,S23,0,1,0.9728834629058838
21,S23,0,0,0.48421710729599
21,S23,0,1,0.9585582613945007
21,S23,1,0,0.014997536316514015
21,S23,1,0,0.0281736571341753
21,S23,1,1,0.7992135882377625
21,S23,1,1,0.8427324891090393
21,S23,1,1,0.9457196593284607
21,S23,1,0,0.06515506654977798
21,S23,1,1,0.8118089437484741
22,S24,0,1,0.8321986198425293
22,S24,0,1,0.7483619451522827
22,S24,0,0,0.08380603045225143
22,S24,0,1,0.8266023397445679
22,S24,0,0,0.2838216722011566
22,S24,0,1,0.8951910734176636
22,S24,0,0,0.07338963449001312
22,S24,1,0,0.39966705441474915
22,S24,1,0,0.11705528199672699
22,S24,1,1,0.8634560108184814
22,S24,1,1,0.9816122651100159
22,S24,1,0,0.06623242795467377
22,S24,0,0,0.18621185421943665
23,S25,0,0,0.006827490869909525
23,S25,0,0,0.047943804413080215
23,S25,1,1,0.7719940543174744
23,S25,0,1,0.9617413282394409
23,S25,0,1,0.9829119443893433
23,S25,1,1,0.9500547051429749
23,S25,1,1,0.8326413631439209
23,S25,1,0,0.14512979984283447
23,S25,1,0,0.21474529802799225
23,S25,1,0,0.016697639599442482
23,S25,1,1,0.6802211403846741
23,S25,0,0,0.09590845555067062
23,S25,0,0,0.027048056945204735
23,S25,1,1,0.9968380928039551
24,S26,0,0,0.10403157770633698
24,S26,0,0,0.4141917824745178
24,S26,1,1,0.8555614352226257
24,S26,1,1,0.9456880688667297
24,S26,1,1,0.9646726250648499
24,S26,1,1,0.9926074743270874
24,S26,1,1,0.5054078698158264
25,S27,0,1,0.5715173482894897
25,S27,0,1,0.9696660041809082
25,S27,0,1,0.6250724196434021
25,S27,0,0,0.052429068833589554
25,S27,0,0,0.04136248677968979
25,S27,0,0,0.026189927011728287
25,S27,1,0,0.04525626823306084
26,S28,1,0,0.030650148168206215
26,S28,0,1,0.6478985548019409
26,S28,0,0,0.07883650064468384
26,S28,0,0,0.29563191533088684
26,S28,1,1,0.7007747292518616
26,S28,1,0,0.16676190495491028
26,S28,0,0,0.009740647859871387
27,S29,0,1,0.9615031480789185
27,S29,1,1,0.6966937184333801
27,S29,1,1,0.8034635782241821
27,S29,1,1,0.9608489274978638
27,S29,1,1,0.7431267499923706
27,S29,1,1,0.9194490313529968
27,S29,1,0,0.053717054426670074
27,S29,1,0,0.430192232131958
27,S29,0,1,0.8384239673614502
27,S29,1,0,0.0122297378256917
27,S29,1,1,0.7960019707679749
27,S29,1,0,0.10984288901090622
27,S29,1,0,0.003343284595757723
27,S29,1,0,0.023985616862773895
27,S29,1,0,0.003659976879134774
27,S29,1,1,0.8775181770324707
27,S29,1,1,0.5656507015228271
27,S29,1,1,0.9980745315551758
27,S29,0,1,0.9837613701820374
27,S29,1,0,0.4116063416004181
28,S30,0,1,0.9138180017471313
28,S30,1,1,0.8153126835823059
28,S30,0,1,0.7257978916168213
28,S30,0,1,0.9728500843048096
28,S30,0,1,0.9847567677497864
28,S30,0,1,0.9845645427703857
28,S30,0,0,0.01650128699839115
28,S30,0,1,0.9804221987724304
28,S30,0,1,0.9928661584854126
28,S30,0,1,0.9102107882499695
28,S30,0,0,0.05272955819964409
28,S30,1,1,0.8970402479171753
28,S30,0,0,0.01581418886780739
29,S31,0,0,0.002523422706872225
29,S31,0,0,0.030900176614522934
29,S31,0,0,0.17000609636306763
29,S31,0,0,0.0450601726770401
29,S31,0,0,0.16552025079727173
29,S31,0,0,0.49928048253059387
29,S31,0,1,0.8156072497367859
29,S31,0,0,0.34659770131111145
30,S32,0,0,0.4220653176307678
30,S32,0,0,0.23914270102977753
30,S32,0,1,0.9797348380088806
30,S32,0,1,0.7166678309440613
30,S32,0,1,0.95156329870224
30,S32,0,0,0.004220002330839634
30,S32,1,1,0.9967024922370911
31,S33,1,0,0.006591857876628637
31,S33,1,0,0.3171308636665344
31,S33,1,0,0.3002350926399231
31,S33,1,1,0.5115386247634888
31,S33,1,0,0.011600625701248646
31,S33,1,1,0.9985195994377136
32,S34,0,1,0.8434370160102844
32,S34,0,1,0.5734178423881531
32,S34,1,0,0.41872528195381165
32,S34,0,0,0.12225053459405899
32,S34,0,0,0.12166044861078262
32,S34,0,1,0.5875294208526611
32,S34,1,1,0.5336124897003174
33,S35,0,0,0.017075015231966972
33,S35,0,0,0.4809160530567169
33,S35,0,0,0.26353320479393005
33,S35,0,0,0.08875732868909836
33,S35,0,0,0.28395047783851624
33,S35,1,1,0.5083986520767212
34,S36,0,0,0.3113017976284027
34,S36,1,0,0.20897938311100006
34,S36,1,1,0.8329066634178162
34,S36,1,1,0.5890664458274841
34,S36,1,1,0.55390465259552
34,S36,1,0,0.27081796526908875
34,S36,1,0,0.2484678328037262
35,S37,0,0,0.4342961013317108
35,S37,0,1,0.7096654772758484
35,S37,0,1,0.8677595257759094
35,S37,0,1,0.7990805506706238
35,S37,0,1,0.842566728591919
35,S37,0,0,0.13530321419239044
35,S37,1,1,0.999565064907074
35,S37,1,1,0.9827231168746948
36,S38,0,1,0.9999563694000244
36,S38,0,0,0.313063383102417
36,S38,0,0,0.024918880313634872
36,S38,0,0,0.059368811547756195
36,S38,1,0,0.29775887727737427
36,S38,0,1,0.9999991655349731
36,S38,1,0,0.010606200434267521
36,S38,1,1,0.9953437447547913
36,S38,1,1,0.9886599779129028
36,S38,1,1,0.762723445892334
37,S39,0,0,0.05920127406716347
37,S39,0,0,0.3434450626373291
37,S39,0,0,0.007250935770571232
37,S39,1,1,0.9835224151611328
37,S39,1,1,0.7621783018112183
37,S39,0,0,0.47238123416900635
37,S39,1,1,0.9712771773338318
38,S40,0,1,0.7670685648918152
38,S40,0,0,0.4625641405582428
38,S40,0,0,0.36731594800949097
38,S40,1,0,0.16112250089645386
38,S40,0,0,0.08791991323232651
38,S40,1,0,1.122307253353938e-06
38,S40,0,1,0.978196918964386
39,S41,1,0,0.016114231199026108
39,S41,1,0,0.4670415222644806
39,S41,1,1,0.9994471669197083
39,S41,1,0,0.4191690981388092
39,S41,1,0,0.03143796697258949
39,S41,1,0,0.3180747330188751
39,S41,1,0,0.08731704205274582
39,S41,1,0,0.009233095683157444
39,S41,1,0,0.011441366747021675
40,S42,0,0,0.44801050424575806
40,S42,1,1,0.9114252924919128
40,S42,0,1,0.6929638981819153
40,S42,0,1,0.745482325553894
40,S42,1,1,0.6832598447799683
40,S42,0,0,0.09671104699373245
40,S42,0,1,0.7076007127761841
41,S43,0,1,0.7529099583625793
41,S43,1,1,0.5778750777244568
41,S43,1,0,0.0777464210987091
41,S43,1,1,0.9943154454231262
41,S43,1,1,0.9084840416908264
41,S43,0,0,0.116334930062294
41,S43,1,0,0.03933195024728775
42,S44,1,0,0.16208425164222717
42,S44,1,0,0.2067846655845642
42,S44,1,1,0.9076679348945618
42,S44,1,0,0.2865616977214813
42,S44,1,1,0.805791437625885
42,S44,1,1,0.9031782746315002
42,S44,1,1,0.9766916036605835
