fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.03829839080572128
1,S01,0,0,0.018274730071425438
1,S01,1,1,0.9715319275856018
1,S01,1,1,0.9548234343528748
1,S01,1,1,0.9943225383758545
1,S01,1,1,0.9952195286750793
1,S01,1,1,0.9956256151199341
1,S01,1,1,0.9465335607528687
1,S01,0,1,0.8928364515304565
1,S01,1,1,0.9712241888046265
1,S01,1,1,0.8767977356910706
1,S01,1,1,0.9901208877563477
1,S01,0,1,0.9851378202438354
1,S01,1,1,0.9669727087020874
1,S01,1,1,0.8980198502540588
2,S02,0,0,0.026570528745651245
2,S02,0,0,0.16350148618221283
2,S02,0,0,0.04637949541211128
2,S02,0,1,0.5543916821479797
2,S02,0,0,0.3960390090942383
2,S02,1,1,0.6359410285949707
2,S02,1,0,0.48426300287246704
3,S03,0,0,0.05795525014400482
3,S03,0,0,0.026865167543292046
3,S03,0,0,0.03747671842575073
3,S03,0,1,0.7473649382591248
3,S03,1,0,0.24566656351089478
3,S03,0,0,0.029146822169423103
4,S05,0,0,0.2452676147222519
4,S05,1,1,0.5469130873680115
4,S05,0,0,0.059309348464012146
4,S05,1,1,0.9481134414672852
4,S05,1,1,0.9914852976799011
4,S05,1,1,0.9213935136795044
4,S05,1,0,0.4498530924320221
4,S05,0,1,0.8789360523223877
5,S06,1,1,0.8485704660415649
5,S06,0,1,0.9438431262969971
5,S06,1,0,0.15954774618148804
5,S06,1,0,0.12297433614730835
5,S06,0,0,0.052471961826086044
5,S06,0,0,0.018101228401064873
5,S06,1,1,0.9841018319129944
5,S06,0,1,0.9467560648918152
6,S07,0,0,0.02731955051422119
6,S07,1,0,0.02045619487762451
6,S07,0,0,0.00015113831614144146
6,S07,0,0,0.003238926874473691
6,S07,0,0,8.361787331523374e-05
6,S07,1,1,0.9987010955810547
6,S07,1,0,0.000463389849755913
7,S08,1,0,0.1269887089729309
7,S08,0,1,0.9226364493370056
7,S08,0,1,0.7948354482650757
