fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.14258767664432526
1,S01,0,0,0.09464959055185318
1,S01,1,1,0.9401298761367798
1,S01,1,1,0.8103546500205994
1,S01,1,1,0.9723145961761475
1,S01,1,1,0.9731485843658447
1,S01,1,1,0.9748319387435913
1,S01,1,1,0.8454629182815552
1,S01,0,1,0.8129660487174988
1,S01,1,1,0.931804895401001
1,S01,1,1,0.8825405836105347
1,S01,1,1,0.9418067932128906
1,S01,0,1,0.9403883218765259
1,S01,1,1,0.9056130647659302
1,S01,1,1,0.8644693493843079
2,S02,0,0,0.01897103525698185
2,S02,0,0,0.2895253896713257
2,S02,0,0,0.036039289087057114
2,S02,0,0,0.3769097328186035
2,S02,0,0,0.4394792914390564
2,S02,1,0,0.37720954418182373
2,S02,1,1,0.7762529253959656
3,S03,0,0,0.0675276517868042
3,S03,0,0,0.020489079877734184
3,S03,0,0,0.014813913032412529
3,S03,0,0,0.472873330116272
3,S03,1,0,0.1832197606563568
3,S03,0,0,0.09915769845247269
4,S05,0,0,0.4752522110939026
4,S05,1,1,0.7169983386993408
4,S05,0,0,0.04424590244889259
4,S05,1,1,0.9520224928855896
4,S05,1,1,0.9995520710945129
4,S05,1,1,0.9435352683067322
4,S05,1,0,0.46536293625831604
4,S05,0,1,0.8561378121376038
5,S06,1,1,0.8169264197349548
5,S06,0,1,0.9475025534629822
5,S06,1,0,0.20666605234146118
5,S06,1,0,0.17294847965240479
5,S06,0,0,0.10157329589128494
5,S06,0,1,0.9999996423721313
5,S06,1,1,0.983303427696228
5,S06,0,1,0.896060585975647
6,S07,0,1,0.9171739816665649
6,S07,1,0,0.12760937213897705
6,S07,0,0,0.0021763138938695192
6,S07,0,0,0.17448250949382782
6,S07,0,0,0.0010098625207319856
6,S07,1,1,0.9988788962364197
6,S07,1,0,0.015124306082725525
7,S08,1,0,0.10062555223703384
7,S08,0,1,0.9462121725082397
7,S08,0,1,0.6677576303482056
7,S08,0,1,0.9912023544311523
7,S08,0,0,0.4833841323852539
7,S08,1,1,0.9995787739753723
7,S08,0,0,0.23544399440288544
7,S08,1,1,0.9945323467254639
7,S08,0,0,0.08901656419038773
7,S08,0,1,0.5958535671234131
7,S08,0,0,0.17251141369342804
7,S08,1,1,0.999987006187439
7,S08,1,1,0.9815776944160461
7,S08,1,1,0.991592288017273
7,S08,0,1,0.9616220593452454
7,S08,0,1,0.9821609258651733
8,S09,0,0,0.022928135469555855
8,S09,1,0,0.31387168169021606
8,S09,1,1,0.8682810068130493
8,S09,0,1,0.6459510326385498
8,S09,1,1,0.9635342359542847
8,S09,1,1,0.5677709579467773
8,S09,1,1,0.7501620054244995
8,S09,1,1,0.8462890386581421
8,S09,1,1,0.9916796088218689
8,S09,1,1,0.9664208292961121
9,S10,0,1,0.812626302242279
9,S10,0,1,0.7511094808578491
9,S10,0,0,0.39323896169662476
9,S10,0,0,0.45083361864089966
9,S10,0,0,0.46061500906944275
9,S10,1,1,0.999289870262146
9,S10,0,1,0.5672847032546997
9,S10,1,1,0.878383219242096
9,S10,0,0,0.128090500831604
9,S10,1,1,0.873941957950592
9,S10,0,0,0.4167448878288269
9,S10,1,1,0.9977492690086365
10,S12,0,1,0.718163251876831
10,S12,1,0,0.42257389426231384
10,S12,1,1,0.9999922513961792
10,S12,1,0,0.1319032907485962
10,S12,0,0,0.011069899424910545
10,S12,1,1,0.877531886100769
10,S12,1,1,0.817824125289917
11,S13,0,0,0.029264815151691437
11,S13,0,0,0.03457983210682869
11,S13,0,0,0.029373181983828545
11,S13,0,0,0.025901461020112038
11,S13,1,0,0.13148172199726105
11,S13,1,0,0.12859593331813812
12,S14,1,0,0.029021600261330605
12,S14,0,0,0.05179622024297714
12,S14,1,0,0.3642887771129608
12,S14,0,0,0.06560831516981125
12,S14,1,1,0.6634572148323059
12,S14,1,1,0.958608865737915
12,S14,1,1,0.8811300992965698
12,S14,1,1,0.5546225905418396
13,S15,0,0,0.04293448105454445
13,S15,0,0,0.06385903805494308
13,S15,0,0,0.014147445559501648
13,S15,1,1,0.9999997615814209
13,S15,1,0,0.07541995495557785
13,S15,1,1,0.8640223145484924
14,S16,0,0,0.1010044664144516
14,S16,0,0,0.024410288780927658
14,S16,0,0,0.09739814698696136
14,S16,0,0,0.012853954918682575
14,S16,0,0,0.027502786368131638
14,S16,0,0,0.08407236635684967
14,S16,0,0,0.4506737291812897
14,S16,0,0,0.018219679594039917
15,S17,0,0,0.06764863431453705
15,S17,1,0,0.31649506092071533
15,S17,1,0,0.4439666271209717
15,S17,1,0,0.37634575366973877
15,S17,0,0,0.09427869319915771
15,S17,1,1,0.9103795886039734
15,S17,1,0,0.25288915634155273
16,S18,0,0,0.002989176195114851
16,S18,1,1,0.9991531372070312
16,S18,0,0,0.0009407430770806968
16,S18,0,0,0.18722940981388092
16,S18,0,0,0.003226456930860877
16,S18,1,0,0.018702683970332146
16,S18,0,1,0.7927263379096985
16,S18,1,1,0.9133511781692505
16,S18,0,0,0.2853454351425171
16,S18,1,1,0.8138420581817627
16,S18,0,0,0.005609788931906223
16,S18,1,1,0.9996477365493774
16,S18,1,0,0.10234721004962921
16,S18,1,0,0.43850454688072205
17,S19,0,0,0.03909856453537941
17,S19,0,0,0.03940034285187721
17,S19,0,0,0.012965760193765163
17,S19,1,1,0.6570060849189758
17,S19,0,0,0.06660057604312897
17,S19,0,0,0.49134349822998047
17,S19,0,0,0.4784579575061798
17,S19,0,0,0.33560532331466675
17,S19,1,1,0.9254007339477539
17,S19,0,0,0.007157514337450266
17,S19,0,0,0.3574424684047699
17,S19,1,1,0.9864069819450378
17,S19,0,0,0.2897096872329712
17,S19,1,1,0.9984171390533447
17,S19,1,1,0.9823463559150696
17,S19,1,1,0.9890823364257812
17,S19,1,0,0.46795380115509033
18,S20,0,0,0.020126568153500557
18,S20,0,0,0.028234107419848442
18,S20,0,0,0.021632026880979538
18,S20,0,0,0.30523398518562317
18,S20,0,0,0.010938271880149841
18,S20,1,0,0.3868160843849182
18,S20,1,1,0.8906093835830688
19,S21,0,0,0.08769936859607697
19,S21,0,0,0.02829241007566452
19,S21,0,0,0.05590209737420082
19,S21,0,0,0.22164618968963623
19,S21,0,0,0.016145363450050354
19,S21,1,0,0.44053131341934204
20,S22,1,0,0.28131964802742004
20,S22,0,0,0.12814004719257355
20,S22,1,0,0.18641380965709686
20,S22,1,1,0.7584332227706909
20,S22,1,1,0.5166931748390198
20,S22,1,1,0.703609824180603
20,S22,1,1,0.9027878642082214
20,S22,1,1,0.9880924820899963
20,S22,1,1,0.9994044303894043
20,S22,1,1,0.9733177423477173
20,S22,1,1,0.6651017069816589
20,S22,0,1,0.5384522080421448
20,S22,1,0,0.34712687134742737
20,S22,1,0,0.3788798749446869
21,S23,0,0,0.06535512208938599
21,S23,0,0,0.08344990015029907
21,S23,0,0,0.06912750750780106
21,S23,0,0,0.08946523070335388
21,S23,0,0,0.09465677291154861
21,S23,1,1,0.9218852519989014
21,S23,1,1,0.9663212895393372
21,S23,1,1,0.9999867677688599
21,S23,1,1,0.9685521721839905
21,S23,1,1,0.9920584559440613
21,S23,1,1,0.9999719858169556
21,S23,1,1,0.9992355108261108
22,S24,0,0,0.09242168068885803
22,S24,0,0,0.18053586781024933
22,S24,0,0,0.1298275738954544
22,S24,0,0,0.19541527330875397
22,S24,0,0,0.21466907858848572
22,S24,0,0,0.060641203075647354
22,S24,0,0,0.11217958480119705
22,S24,1,1,0.9325752854347229
22,S24,1,1,0.7344123721122742
22,S24,1,1,0.9117339849472046
22,S24,1,1,0.930899977684021
22,S24,1,1,0.9753544330596924
22,S24,0,0,0.1518448293209076
23,S25,0,0,0.2543601095676422
23,S25,0,1,0.6846001148223877
23,S25,1,1,0.749882698059082
23,S25,0,1,0.9265127778053284
23,S25,0,0,0.05150393396615982
23,S25,1,1,0.7753629684448242
23,S25,1,1,0.9999986886978149
23,S25,1,1,0.9999899864196777
23,S25,1,1,0.5461325645446777
23,S25,1,1,0.8559834361076355
23,S25,1,1,0.984813392162323
23,S25,0,1,0.8835071325302124
23,S25,0,0,0.05078674852848053
23,S25,1,1,0.7336732745170593
24,S26,0,0,0.06942517310380936
24,S26,0,0,0.159312441945076
24,S26,1,1,0.5535137057304382
24,S26,1,1,0.7146874666213989
24,S26,1,1,0.8430355191230774
24,S26,1,1,0.8046442866325378
24,S26,1,1,0.9531359076499939
25,S27,0,1,0.7984177470207214
25,S27,0,0,0.05199780687689781
25,S27,0,0,0.11196868121623993
25,S27,0,1,0.9840487241744995
25,S27,0,0,0.013337290845811367
25,S27,0,0,0.08354125916957855
25,S27,1,1,0.9829810857772827
26,S28,1,1,0.6054314970970154
26,S28,0,0,0.1390036791563034
26,S28,0,0,0.2278182953596115
26,S28,0,0,0.36863312125205994
26,S28,1,1,0.9777726531028748
26,S28,1,1,0.9989363551139832
26,S28,0,1,0.742751955986023
27,S29,0,1,0.9697045683860779
27,S29,1,0,0.33905258774757385
27,S29,1,1,0.9991346001625061
27,S29,1,0,0.4296276569366455
27,S29,1,1,0.9959933757781982
27,S29,1,1,0.987084686756134
27,S29,1,1,0.992745041847229
27,S29,1,1,0.7801118493080139
27,S29,0,1,0.9899663925170898
27,S29,1,1,0.9309501051902771
27,S29,1,1,0.5683526396751404
27,S29,1,0,0.22484387457370758
27,S29,1,1,0.7893968224525452
27,S29,1,1,0.9996793270111084
27,S29,1,1,0.9190353155136108
27,S29,1,1,0.9840853214263916
27,S29,1,1,0.99565190076828
27,S29,1,1,0.9811568856239319
27,S29,0,0,0.4584001302719116
27,S29,1,0,0.03600241616368294
28,S30,0,1,0.5959235429763794
28,S30,1,1,0.9575889110565186
28,S30,0,0,0.11904682964086533
28,S30,0,0,0.21054814755916595
28,S30,0,0,0.003050096333026886
28,S30,0,0,0.35090482234954834
28,S30,0,1,0.9646220207214355
28,S30,0,0,0.03448662906885147
28,S30,0,0,0.20526698231697083
