fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.0029352742712944746
1,S01,0,0,0.0027669405099004507
1,S01,1,1,0.9909372925758362
1,S01,1,1,0.9985508322715759
1,S01,1,1,0.9989920258522034
1,S01,1,1,0.9989987015724182
1,S01,1,1,0.99899822473526
1,S01,1,1,0.9981704950332642
1,S01,0,1,0.8451831340789795
1,S01,1,1,0.9987851977348328
1,S01,1,1,0.9980265498161316
1,S01,1,1,0.9989809393882751
1,S01,0,1,0.9989564418792725
1,S01,1,1,0.9989903569221497
1,S01,1,0,0.027030350640416145
2,S02,0,0,0.0034632408060133457
2,S02,0,1,0.9985889792442322
2,S02,0,0,0.003011085093021393
2,S02,0,1,0.9990850687026978
2,S02,0,0,0.0015744420234113932
2,S02,1,0,0.005506499670445919
2,S02,1,0,0.02848117984831333
3,S03,0,0,0.002028129296377301
3,S03,0,0,0.0020345516968518496
3,S03,0,0,0.0019180355593562126
3,S03,0,1,0.906032383441925
3,S03,1,0,0.0023225746117532253
3,S03,0,0,0.002150336280465126
4,S05,0,0,0.0036320623476058245
4,S05,1,0,0.004091466311365366
4,S05,0,0,0.0026385667733848095
4,S05,1,1,0.9991317391395569
4,S05,1,1,0.998819887638092
4,S05,1,1,0.9991428852081299
4,S05,1,1,0.994875967502594
4,S05,0,1,0.9990231990814209
5,S06,1,1,0.9993802309036255
5,S06,0,1,0.9994022846221924
5,S06,1,0,0.01158958114683628
5,S06,1,1,0.9130116701126099
5,S06,0,0,0.002206576056778431
5,S06,0,0,0.0021935978438705206
5,S06,1,1,0.999388575553894
5,S06,0,1,0.9993278980255127
6,S07,0,1,0.9974297881126404
6,S07,1,0,0.004246927797794342
6,S07,0,0,0.00306884478777647
6,S07,0,1,0.847545862197876
6,S07,0,0,0.0032448440324515104
6,S07,1,1,0.9968197345733643
6,S07,1,1,0.9975579977035522
7,S08,1,0,0.014685103669762611
7,S08,0,1,0.96129310131073
7,S08,0,1,0.9939978122711182
7,S08,0,1,0.9953222870826721
7,S08,0,1,0.9935818910598755
7,S08,1,1,0.9968782663345337
7,S08,0,0,0.04570966958999634
7,S08,1,1,0.9970625042915344
7,S08,0,0,0.008438091725111008
7,S08,0,1,0.9422872066497803
7,S08,0,1,0.9911245703697205
7,S08,1,1,0.9970397353172302
7,S08,1,1,0.9966975450515747
7,S08,1,1,0.9968017339706421
7,S08,0,1,0.9843714833259583
7,S08,0,1,0.9955433011054993
8,S09,0,0,0.008754818700253963
8,S09,1,1,0.6717747449874878
8,S09,1,1,0.994803249835968
8,S09,0,1,0.9925030469894409
8,S09,1,1,0.9890312552452087
8,S09,1,0,0.020545830950140953
8,S09,1,0,0.2600361108779907
8,S09,1,1,0.9947348833084106
8,S09,1,1,0.9948689937591553
8,S09,1,1,0.9947137236595154
9,S10,0,0,0.0359610877931118
9,S10,0,0,0.062342602759599686
9,S10,0,0,0.04954469949007034
9,S10,0,1,0.9983605742454529
9,S10,0,0,0.02835243009030819
9,S10,1,1,0.9988044500350952
9,S10,0,0,0.031640682369470596
9,S10,1,1,0.9921533465385437
9,S10,0,0,0.0206023957580328
