fold,test_subject,y_true,y_pred,p1
1,S01,0,0,1.5276608866798824e-09
1,S01,0,0,4.5875958587515697e-10
1,S01,1,0,1.388144976743888e-08
1,S01,1,0,9.992905170008726e-09
1,S01,1,0,1.7068768443095905e-07
1,S01,1,0,1.4873013753913256e-07
1,S01,1,0,1.5251382023961924e-07
1,S01,1,0,1.5339105630118866e-07
1,S01,0,0,1.1723733095436728e-09
1,S01,1,0,2.3586494535265956e-08
1,S01,1,0,1.7055727496995132e-08
1,S01,1,0,7.074905283843691e-08
1,S01,0,0,3.336312559554244e-08
1,S01,1,0,4.818523535732311e-08
1,S01,1,0,5.753196674618266e-08
2,S02,0,0,0.00017694207781460136
2,S02,0,0,0.001241182559169829
2,S02,0,0,1.6310681530740112e-05
2,S02,0,1,0.8272349834442139
2,S02,0,0,0.000486663484480232
2,S02,1,0,0.013855553232133389
2,S02,1,0,0.08065987378358841
3,S03,0,0,0.0020679859444499016
3,S03,0,0,0.00023733142006676644
3,S03,0,0,0.0005444174166768789
3,S03,0,0,0.12573473155498505
3,S03,1,0,0.00135992921423167
3,S03,0,0,0.00055173528380692
4,S05,0,0,0.012353996746242046
4,S05,1,1,0.8298144936561584
4,S05,0,0,0.0022482117637991905
4,S05,1,1,0.9734573364257812
4,S05,1,1,0.9991555213928223
4,S05,1,1,0.9378917813301086
4,S05,1,0,0.0589766763150692
4,S05,0,0,0.3697585165500641
5,S06,1,0,0.008346633054316044
5,S06,0,1,0.9966598749160767
5,S06,1,1,0.6793935298919678
5,S06,1,0,0.08518911153078079
5,S06,0,1,0.8671425580978394
5,S06,0,0,0.08391615003347397
5,S06,1,1,0.9999785423278809
5,S06,0,1,0.9999455213546753
6,S07,0,1,0.7189550995826721
6,S07,1,0,0.23403477668762207
6,S07,0,0,6.817549729021266e-05
6,S07,0,0,0.15638695657253265
6,S07,0,0,1.4230015040084254e-05
6,S07,1,1,0.9798597693443298
6,S07,1,0,0.12613436579704285
7,S08,1,1,0.8522832989692688
7,S08,0,1,0.6265281438827515
7,S08,0,1,0.7729985117912292
7,S08,0,1,0.9379104375839233
7,S08,0,0,0.06135007366538048
7,S08,1,1,0.9789383411407471
7,S08,0,0,0.007367952261120081
7,S08,1,1,0.9981809854507446
7,S08,0,0,0.17790544033050537
7,S08,0,0,0.13412249088287354
7,S08,0,0,0.10064220428466797
7,S08,1,1,0.9999356269836426
7,S08,1,1,0.685261070728302
7,S08,1,1,0.960273027420044
7,S08,0,1,0.9741917252540588
7,S08,0,1,0.9477249383926392
8,S09,0,0,0.008665287867188454
8,S09,1,0,0.12637905776500702
8,S09,1,1,0.9380815029144287
8,S09,0,0,0.037182703614234924
8,S09,1,0,0.19355455040931702
8,S09,1,1,0.732384979724884
8,S09,1,1,0.9186397790908813
8,S09,1,1,0.9769902229309082
8,S09,1,1,0.8074865341186523
8,S09,1,1,0.8391355872154236
9,S10,0,0,2.43338060812448e-09
9,S10,0,0,2.7518291645378667e-08
9,S10,0,0,6.994353611844417e-07
9,S10,0,0,0.03912562504410744
9,S10,0,0,2.1341696765375673e-07
9,S10,1,0,0.0008743006037548184
9,S10,0,0,0.00023257349675986916
9,S10,1,0,0.3325660526752472
9,S10,0,0,0.0010793940164148808
9,S10,1,1,0.5463578701019287
9,S10,0,0,0.008816232904791832
9,S10,1,1,0.9990804195404053
10,S12,0,0,0.014069022610783577
10,S12,1,1,0.9760214686393738
10,S12,1,1,0.9994118213653564
10,S12,1,0,0.016441959887742996
10,S12,0,0,0.0012058125576004386
10,S12,1,0,0.49321237206459045
10,S12,1,1,0.9782798886299133
11,S13,0,0,0.011422415263950825
11,S13,0,0,0.005762204993516207
11,S13,0,0,0.0008561788126826286
11,S13,0,0,0.0008285851217806339
11,S13,1,1,0.6627146005630493
11,S13,1,0,0.37161776423454285
12,S14,1,0,0.00029894954059273005
12,S14,0,0,0.004281140863895416
12,S14,1,0,0.12164285778999329
12,S14,0,0,0.0007682592840865254
12,S14,1,1,0.870230495929718
12,S14,1,1,0.9903056621551514
12,S14,1,1,0.8401533961296082
12,S14,1,0,0.07259108871221542
13,S15,0,0,1.0767174671855173e-06
13,S15,0,0,0.00871436670422554
13,S15,0,0,4.8160886763071176e-06
13,S15,1,1,0.9999983310699463
13,S15,1,0,0.005946825258433819
13,S15,1,1,0.9828197956085205
14,S16,0,0,0.00010272154759149998
14,S16,0,0,0.00014513212954625487
14,S16,0,0,0.00042652510455809534
14,S16,0,0,4.1727969801286235e-05
14,S16,0,0,3.4659991797525436e-05
14,S16,0,0,0.0013118177885189652
14,S16,0,0,0.007591245695948601
14,S16,0,0,0.0010681042913347483
15,S17,0,0,0.00012551859254017472
15,S17,1,1,0.9974701404571533
15,S17,1,1,0.9124288558959961
15,S17,1,0,0.05978601425886154
15,S17,0,0,0.0020964485593140125
15,S17,1,1,0.9985809326171875
15,S17,1,1,0.7841364145278931
16,S18,0,0,0.04033970087766647
16,S18,1,1,0.9999480247497559
16,S18,0,0,0.013589378446340561
16,S18,0,1,0.9819366335868835
16,S18,0,0,0.2447039932012558
16,S18,1,1,0.9882671236991882
16,S18,0,0,0.001706020557321608
16,S18,1,1,0.9850322008132935
16,S18,0,1,0.858331024646759
16,S18,1,1,0.9998525381088257
16,S18,0,0,0.1611342579126358
16,S18,1,1,0.9999599456787109
16,S18,1,1,0.9931362867355347
16,S18,1,1,0.9993081092834473
17,S19,0,0,0.000170215978869237
17,S19,0,0,0.002041171072050929
17,S19,0,0,0.0003612686996348202
17,S19,1,1,0.8129697442054749
17,S19,0,0,0.0006696104537695646
17,S19,0,1,0.6816686987876892
17,S19,0,0,0.09326805174350739
17,S19,0,0,0.24518808722496033
17,S19,1,1,0.9476967453956604
17,S19,0,0,9.384366421727464e-05
17,S19,0,0,0.027600109577178955
17,S19,1,1,0.7231021523475647
17,S19,0,0,0.09446761757135391
17,S19,1,1,0.9636676907539368
17,S19,1,1,0.7536581158638
17,S19,1,1,0.9986932873725891
17,S19,1,0,0.004777634050697088
18,S20,0,0,1.5453410014742985e-05
18,S20,0,0,3.624122837209143e-05
18,S20,0,0,0.000106066967418883
18,S20,0,0,0.005840190686285496
18,S20,0,0,1.7587555703357793e-05
18,S20,1,0,0.3964172601699829
18,S20,1,0,0.3523557186126709
19,S21,0,0,0.0021662248764187098
19,S21,0,0,0.0010556434281170368
19,S21,0,0,0.003925373312085867
19,S21,0,0,0.002255668630823493
19,S21,0,0,0.0003066298959311098
19,S21,1,0,0.23808977007865906
20,S22,1,0,0.0056985728442668915
20,S22,0,0,0.07515262067317963
20,S22,1,0,0.001716975006274879
20,S22,1,1,0.8698146939277649
20,S22,1,0,0.13883648812770844
20,S22,1,0,0.37418442964553833
20,S22,1,1,0.9867180585861206
20,S22,1,1,0.9898660778999329
20,S22,1,1,0.9999536275863647
20,S22,1,1,0.9996910095214844
20,S22,1,0,0.08967890590429306
20,S22,0,1,0.5829379558563232
20,S22,1,1,0.9785593152046204
20,S22,1,1,0.9998538494110107
21,S23,0,0,0.013317747041583061
21,S23,0,0,0.0021370924077928066
21,S23,0,0,0.0042986576445400715
21,S23,0,0,0.0017912869807332754
21,S23,0,0,0.00025483823264949024
21,S23,1,1,0.9621031284332275
21,S23,1,1,0.998954176902771
21,S23,1,1,0.9999852180480957
21,S23,1,1,0.9983519315719604
21,S23,1,1,0.9998527765274048
21,S23,1,1,0.9989826083183289
21,S23,1,1,0.9998304843902588
22,S24,0,0,0.021188756451010704
22,S24,0,0,0.0002903346612583846
22,S24,0,0,0.0033719015773385763
22,S24,0,0,0.0006528286030516028
22,S24,0,0,0.008531015366315842
22,S24,0,0,0.015109837055206299
22,S24,0,0,0.06823807209730148
22,S24,1,1,0.9990578293800354
22,S24,1,1,0.9813845157623291
22,S24,1,1,0.9972050786018372
22,S24,1,1,0.9983343482017517
22,S24,1,1,0.9996308088302612
22,S24,0,0,0.007816880941390991
23,S25,0,0,0.016830027103424072
23,S25,0,1,0.9847650527954102
23,S25,1,1,0.9937766790390015
23,S25,0,1,0.9702432751655579
23,S25,0,0,0.09691037982702255
23,S25,1,1,0.8036489486694336
23,S25,1,1,0.9999978542327881
23,S25,1,1,0.9999949932098389
23,S25,1,1,0.8301512002944946
23,S25,1,1,0.9509017467498779
23,S25,1,1,0.9984719157218933
23,S25,0,1,0.8554652333259583
23,S25,0,0,0.0007029034895822406
23,S25,1,1,0.998816967010498
24,S26,0,0,0.0026706818025559187
24,S26,0,0,0.029821010306477547
24,S26,1,1,0.6913474202156067
24,S26,1,1,0.9733015894889832
24,S26,1,1,0.9960208535194397
24,S26,1,1,0.981776773929596
24,S26,1,1,0.9968639612197876
25,S27,0,1,0.7006386518478394
25,S27,0,1,0.962476372718811
25,S27,0,0,0.062079548835754395
25,S27,0,1,0.9910439252853394
25,S27,0,1,0.5036343932151794
25,S27,0,0,0.009833495132625103
25,S27,1,1,0.9978813529014587
26,S28,1,1,0.9746305346488953
26,S28,0,0,0.049010712653398514
26,S28,0,0,0.3155861794948578
26,S28,0,1,0.8542223572731018
26,S28,1,1,0.9968631267547607
26,S28,1,1,0.9999710321426392
26,S28,0,1,0.7563793659210205
27,S29,0,1,0.770055890083313
27,S29,1,0,0.29263851046562195
27,S29,1,1,0.9992541670799255
27,S29,1,1,0.9724580645561218
27,S29,1,1,0.9862833023071289
27,S29,1,1,0.9874804615974426
27,S29,1,1,0.9307265877723694
27,S29,1,1,0.5143154859542847
27,S29,0,0,0.047140661627054214
27,S29,1,1,0.9993071556091309
27,S29,1,0,0.36158323287963867
27,S29,1,0,0.12879051268100739
27,S29,1,1,0.996235191822052
27,S29,1,1,0.9999450445175171
27,S29,1,1,0.9967339038848877
27,S29,1,1,0.5655516386032104
27,S29,1,1,0.9814452528953552
