fold,test_subject,y_true,y_pred,p1
1,S01,0,1,0.511544406414032
1,S01,0,1,0.5929778814315796
1,S01,1,0,0.32424360513687134
1,S01,1,0,0.3958950936794281
1,S01,1,1,0.5296481847763062
1,S01,1,1,0.553202211856842
1,S01,1,1,0.5281755328178406
1,S01,1,0,0.4842659533023834
1,S01,0,0,0.39289170503616333
1,S01,1,0,0.48968562483787537
1,S01,1,1,0.5480547547340393
1,S01,1,0,0.40331757068634033
1,S01,0,0,0.40164580941200256
1,S01,1,0,0.3670562505722046
1,S01,1,0,0.41556432843208313
2,S02,0,0,0.42281877994537354
2,S02,0,0,0.39382627606391907
2,S02,0,0,0.2699379324913025
2,S02,0,1,0.5780835747718811
2,S02,0,0,0.3652844727039337
2,S02,1,0,0.32265132665634155
2,S02,1,0,0.4197503626346588
3,S03,0,1,0.644889235496521
3,S03,0,1,0.5709444284439087
3,S03,0,1,0.5358132719993591
3,S03,0,1,0.539563775062561
3,S03,1,1,0.5364571213722229
3,S03,0,1,0.6159999370574951
4,S05,0,1,0.5039206743240356
4,S05,1,0,0.47511976957321167
4,S05,0,0,0.26509299874305725
4,S05,1,0,0.3811873495578766
4,S05,1,1,0.5127396583557129
4,S05,1,0,0.318147212266922
4,S05,1,0,0.4924218952655792
4,S05,0,0,0.3602766990661621
5,S06,1,1,0.5046908855438232
5,S06,0,0,0.3349347710609436
5,S06,1,0,0.48690280318260193
5,S06,1,0,0.43273574113845825
5,S06,0,0,0.38816896080970764
5,S06,0,0,0.4804607629776001
5,S06,1,0,0.493902325630188
5,S06,0,0,0.488757848739624
6,S07,0,1,0.5669687986373901
6,S07,1,1,0.6569816470146179
6,S07,0,1,0.5108373761177063
6,S07,0,1,0.5311324596405029
6,S07,0,0,0.4686882197856903
6,S07,1,1,0.5672647356987
6,S07,1,1,0.5973142385482788
7,S08,1,1,0.5452477335929871
7,S08,0,0,0.4952377378940582
7,S08,0,0,0.4126065969467163
7,S08,0,0,0.43750831484794617
7,S08,0,0,0.45507121086120605
7,S08,1,0,0.44401463866233826
7,S08,0,0,0.4537748098373413
7,S08,1,0,0.4117486774921417
7,S08,0,0,0.4799148738384247
7,S08,0,0,0.47453680634498596
7,S08,0,0,0.48155274987220764
7,S08,1,0,0.14484520256519318
7,S08,1,0,0.43114784359931946
7,S08,1,0,0.39980560541152954
7,S08,0,1,0.5159919261932373
7,S08,0,0,0.470079243183136
8,S09,0,1,0.5463523268699646
8,S09,1,0,0.38576042652130127
8,S09,1,0,0.4176040589809418
8,S09,0,0,0.3126188814640045
8,S09,1,0,0.4848376214504242
8,S09,1,0,0.3819372355937958
8,S09,1,1,0.6734256148338318
8,S09,1,1,0.5262861847877502
8,S09,1,0,0.45360538363456726
8,S09,1,0,0.43674811720848083
9,S10,0,0,0.4618096351623535
9,S10,0,0,0.4304558336734772
9,S10,0,1,0.5586079359054565
9,S10,0,1,0.5264220237731934
9,S10,0,0,0.48376283049583435
9,S10,1,0,0.47938644886016846
9,S10,0,0,0.3954385817050934
9,S10,1,0,0.38167181611061096
9,S10,0,1,0.6081012487411499
9,S10,1,0,0.47347864508628845
