fold,test_subject,y_true,y_pred,p1
1,S01,0,1,0.8686354756355286
1,S01,0,0,0.0005391779122874141
1,S01,1,1,0.9980859756469727
1,S01,1,1,0.9978781938552856
1,S01,1,1,0.9402715563774109
1,S01,1,1,0.9999877214431763
1,S01,1,1,0.9251343011856079
1,S01,1,1,0.5774884223937988
1,S01,0,1,0.9025924801826477
1,S01,1,0,0.4195413291454315
1,S01,1,1,0.9999017715454102
1,S01,1,1,0.5848332047462463
1,S01,0,1,0.881566047668457
1,S01,1,1,0.7186642289161682
1,S01,1,1,0.8843895196914673
2,S02,0,0,0.08299349993467331
2,S02,0,1,0.9669036865234375
2,S02,0,0,0.49286141991615295
2,S02,0,1,0.9532271027565002
2,S02,0,0,0.28593364357948303
2,S02,1,1,0.998053789138794
2,S02,1,0,0.42307421565055847
3,S03,0,1,0.5710760354995728
3,S03,0,0,0.0002621118619572371
3,S03,0,0,0.0029910195153206587
3,S03,0,0,0.000353556708432734
3,S03,1,0,0.35624197125434875
3,S03,0,0,1.4313254723674618e-05
4,S05,0,1,0.9846012592315674
4,S05,1,0,0.021113784983754158
4,S05,0,1,0.8818826675415039
4,S05,1,1,0.9953925609588623
4,S05,1,1,0.9521092176437378
4,S05,1,0,0.040270403027534485
4,S05,1,0,0.0011606370098888874
4,S05,0,1,0.9993482232093811
5,S06,1,0,0.07756087183952332
5,S06,0,0,0.38992074131965637
5,S06,1,0,0.013062987476587296
5,S06,1,0,0.0009077988215722144
5,S06,0,0,0.2145838588476181
5,S06,0,0,0.008573297411203384
5,S06,1,0,0.1915082484483719
5,S06,0,0,0.47514739632606506
6,S07,0,0,0.08421020209789276
6,S07,1,1,0.80231112241745
6,S07,0,0,0.4116484224796295
6,S07,0,0,0.3789772689342499
6,S07,0,0,0.00016918846813496202
6,S07,1,1,0.9999979734420776
6,S07,1,0,6.74243492539972e-05
7,S08,1,0,0.4223167896270752
7,S08,0,0,0.34943583607673645
7,S08,0,1,0.925967276096344
7,S08,0,0,0.1976601481437683
7,S08,0,1,0.8744022846221924
7,S08,1,0,0.34512946009635925
7,S08,0,0,0.0005773337907157838
7,S08,1,1,0.999977707862854
7,S08,0,0,0.011537672951817513
7,S08,0,0,0.09931454807519913
7,S08,0,0,0.08493412286043167
7,S08,1,1,0.9937594532966614
7,S08,1,0,0.007140840869396925
7,S08,1,1,0.7209039330482483
7,S08,0,1,0.7702580690383911
7,S08,0,0,0.12521187961101532
8,S09,0,0,5.876232171431184e-05
8,S09,1,0,0.003054168773815036
8,S09,1,1,0.9912195801734924
8,S09,0,0,0.004778346046805382
8,S09,1,1,0.9999785423278809
8,S09,1,0,0.016080468893051147
8,S09,1,0,0.0019011017866432667
8,S09,1,0,0.03788406774401665
8,S09,1,0,0.05736048147082329
8,S09,1,0,0.02418459951877594
9,S10,0,0,3.9458198443753645e-05
9,S10,0,0,0.007100850809365511
9,S10,0,0,0.016088444739580154
9,S10,0,0,0.2985841929912567
9,S10,0,0,0.13693632185459137
9,S10,1,1,0.930660605430603
9,S10,0,0,0.0007864393992349505
9,S10,1,0,0.45858243107795715
9,S10,0,0,0.003159887157380581
9,S10,1,0,0.0202775951474905
9,S10,0,1,0.8563011884689331
9,S10,1,0,0.019403420388698578
10,S12,0,1,0.9999233484268188
10,S12,1,1,0.7708329558372498
10,S12,1,1,0.6993010640144348
10,S12,1,1,0.9961651563644409
10,S12,0,1,0.9169763922691345
10,S12,1,1,0.6678533554077148
10,S12,1,1,0.9984367489814758
11,S13,0,0,0.04478099197149277
11,S13,0,0,0.006114708725363016
11,S13,0,1,0.567862331867218
11,S13,0,1,0.6178784966468811
11,S13,1,1,0.9241185784339905
11,S13,1,1,0.9543611407279968
12,S14,1,0,3.422721056267619e-05
12,S14,0,0,0.01630079746246338
12,S14,1,0,0.17292837798595428
12,S14,0,0,0.000677209987770766
12,S14,1,0,0.16373062133789062
12,S14,1,1,0.9609172940254211
12,S14,1,1,0.6722317934036255
12,S14,1,1,0.8153336048126221
13,S15,0,0,8.883095574674371e-07
13,S15,0,0,0.008317154832184315
13,S15,0,0,0.0005010426975786686
13,S15,1,1,0.9999990463256836
13,S15,1,0,5.394912477640901e-06
13,S15,1,1,0.9998538494110107
14,S16,0,0,0.4000857174396515
14,S16,0,0,0.05080632120370865
14,S16,0,0,0.015451892279088497
14,S16,0,0,0.02024335227906704
14,S16,0,0,3.105721407337114e-05
14,S16,0,1,0.7561848163604736
14,S16,0,1,0.9941026568412781
14,S16,0,0,0.1188933476805687
15,S17,0,0,0.00047329184599220753
15,S17,1,0,0.001283839694224298
15,S17,1,0,0.0004366023640614003
15,S17,1,0,0.0004308598581701517
15,S17,0,0,1.499479708400031e-06
15,S17,1,0,0.008043929003179073
15,S17,1,1,0.9534966349601746
16,S18,0,0,0.05464264005422592
16,S18,1,1,0.999995231628418
16,S18,0,0,0.000905158871319145
16,S18,0,1,0.6464365720748901
16,S18,0,0,0.18440872430801392
16,S18,1,0,0.005973782856017351
16,S18,0,1,0.965273380279541
16,S18,1,0,0.004004272166639566
16,S18,0,1,0.9837555885314941
16,S18,1,0,0.002113012131303549
16,S18,0,0,0.0005649019149132073
16,S18,1,1,0.9988999366760254
16,S18,1,1,0.995182454586029
16,S18,1,1,0.9774671196937561
17,S19,0,1,0.9868454933166504
17,S19,0,0,0.1915866881608963
17,S19,0,0,0.16643653810024261
17,S19,1,1,0.6951552033424377
17,S19,0,1,0.880362868309021
17,S19,0,1,0.99959796667099
17,S19,0,1,0.7754126787185669
17,S19,0,1,0.8511077165603638
17,S19,1,0,0.32757315039634705
17,S19,0,0,3.7597419577650726e-05
17,S19,0,1,0.9949707984924316
17,S19,1,0,0.01467420719563961
17,S19,0,0,0.0004191649204585701
17,S19,1,1,0.9999967813491821
17,S19,1,1,0.9999910593032837
17,S19,1,0,0.48687776923179626
17,S19,1,0,0.03250757232308388
18,S20,0,0,2.1276828192640096e-05
18,S20,0,1,0.5439626574516296
18,S20,0,0,0.029240069910883904
18,S20,0,0,0.019978251308202744
18,S20,0,0,0.09032250940799713
18,S20,1,0,0.0009233701857738197
18,S20,1,0,0.06057760864496231
19,S21,0,1,0.9956377148628235
19,S21,0,1,0.9944993257522583
19,S21,0,1,0.9581755995750427
19,S21,0,1,0.9970257878303528
19,S21,0,1,0.9957003593444824
19,S21,1,1,0.9214245676994324
20,S22,1,0,0.0036347273271530867
20,S22,0,0,0.23470883071422577
20,S22,1,1,0.9399912357330322
20,S22,1,1,0.6413764953613281
20,S22,1,1,0.9264631867408752
20,S22,1,0,0.41170716285705566
20,S22,1,0,0.0011116447858512402
20,S22,1,1,0.9732205271720886
20,S22,1,1,0.9837793707847595
20,S22,1,0,0.03444251790642738
20,S22,1,1,0.9633010029792786
20,S22,0,1,0.924024224281311
20,S22,1,0,0.009935903362929821
20,S22,1,1,0.9670276641845703
21,S23,0,0,0.062161415815353394
21,S23,0,1,0.5155089497566223
21,S23,0,0,0.04210372641682625
21,S23,0,0,7.538350018876372e-06
21,S23,0,0,0.006912749260663986
21,S23,1,1,0.9097254276275635
21,S23,1,1,0.865430474281311
21,S23,1,1,0.883229672908783
21,S23,1,1,0.9899423122406006
21,S23,1,0,0.015310222283005714
21,S23,1,0,0.48544490337371826
21,S23,1,1,0.803062915802002
22,S24,0,1,0.7515259385108948
22,S24,0,0,0.11058251559734344
22,S24,0,0,0.19408608973026276
22,S24,0,0,0.000696985109243542
22,S24,0,1,0.9752081632614136
22,S24,0,0,0.4749656617641449
22,S24,0,0,0.48346278071403503
22,S24,1,1,0.9998810291290283
22,S24,1,1,0.9980443716049194
22,S24,1,1,0.9994840621948242
22,S24,1,1,0.9974435567855835
22,S24,1,1,0.9999967813491821
22,S24,0,0,0.00013800790475215763
23,S25,0,0,0.011453859508037567
23,S25,0,0,0.0012291985331103206
23,S25,1,1,0.9989357590675354
23,S25,0,0,0.4984624981880188
23,S25,0,1,0.7014952898025513
23,S25,1,1,0.9991934895515442
23,S25,1,1,0.9672178626060486
23,S25,1,1,0.9999994039535522
23,S25,1,0,0.007002896163612604
23,S25,1,1,0.9909282326698303
23,S25,1,1,0.9996005892753601
23,S25,0,1,0.7013636231422424
23,S25,0,1,0.9894095659255981
23,S25,1,1,0.9989845156669617
24,S26,0,0,0.02018038183450699
24,S26,0,0,0.24520105123519897
