fold,test_subject,y_true,y_pred,p1
1,S01,0,0,0.00024201352789532393
1,S01,0,0,0.00015086185885593295
1,S01,1,1,0.9998631477355957
1,S01,1,0,0.000547884323168546
1,S01,1,1,0.5260037779808044
1,S01,1,0,0.027243299409747124
1,S01,1,1,0.662248969078064
1,S01,1,1,0.9998292922973633
1,S01,0,1,0.9997102618217468
1,S01,1,0,0.24690663814544678
1,S01,1,0,0.000560895714443177
1,S01,1,1,0.9957836866378784
1,S01,0,1,0.9998433589935303
1,S01,1,1,0.9983722567558289
1,S01,1,1,0.9998636245727539
2,S02,0,0,0.0002338917547604069
2,S02,0,0,0.001475431490689516
2,S02,0,0,0.04849967733025551
2,S02,0,0,0.09524206072092056
2,S02,0,1,0.9993855953216553
2,S02,1,1,0.9996128678321838
2,S02,1,0,0.039426423609256744
3,S03,0,0,0.00025600226945243776
3,S03,0,0,0.0007343754987232387
3,S03,0,0,0.0003844989405479282
3,S03,0,0,0.0026386319659650326
3,S03,1,0,0.00022764597088098526
3,S03,0,0,0.0001733830285957083
4,S05,0,0,0.00031565470271743834
4,S05,1,0,0.0003478810249362141
4,S05,0,0,0.00013538735220208764
4,S05,1,1,0.999863862991333
4,S05,1,1,0.9998621940612793
4,S05,1,1,0.9998362064361572
4,S05,1,1,0.998661994934082
4,S05,0,1,0.9998480081558228
5,S06,1,1,0.5721555352210999
5,S06,0,0,0.004650944843888283
5,S06,1,1,0.9995986819267273
5,S06,1,0,0.00010833398846443743
5,S06,0,0,0.00011546427413122728
5,S06,0,0,0.00018900637223850936
5,S06,1,1,0.9999231100082397
5,S06,0,1,0.9990167617797852
6,S07,0,1,0.9999039173126221
6,S07,1,0,0.00011387041013222188
6,S07,0,0,0.00010205802391283214
6,S07,0,1,0.5715320706367493
6,S07,0,0,0.0001043785159708932
6,S07,1,1,0.9979860782623291
6,S07,1,1,0.9997956156730652
7,S08,1,1,0.9997730851173401
7,S08,0,1,0.9998852014541626
7,S08,0,1,0.9302671551704407
7,S08,0,1,0.9998832941055298
7,S08,0,1,0.9994423985481262
7,S08,1,1,0.9998828172683716
7,S08,0,0,0.0001578550727572292
7,S08,1,1,0.9998841285705566
7,S08,0,0,0.00026595222880132496
7,S08,0,0,0.0002508304314687848
7,S08,0,0,0.00014543053111992776
7,S08,1,0,0.008889326825737953
7,S08,1,1,0.999883770942688
7,S08,1,1,0.9998835325241089
7,S08,0,1,0.9998834133148193
7,S08,0,1,0.9998836517333984
8,S09,0,0,0.009984872303903103
8,S09,1,0,0.14242853224277496
8,S09,1,1,0.9895274639129639
8,S09,0,1,0.6144269108772278
8,S09,1,1,0.6111637949943542
8,S09,1,1,0.9900415539741516
8,S09,1,1,0.97054523229599
8,S09,1,1,0.9657790660858154
8,S09,1,1,0.9887714982032776
8,S09,1,1,0.9699956774711609
9,S10,0,0,0.00013319298159331083
9,S10,0,0,0.0001103008835343644
9,S10,0,0,0.00011787310359068215
9,S10,0,1,0.8169198036193848
9,S10,0,0,0.00010921325883828104
9,S10,1,0,0.00011863583495141938
9,S10,0,0,0.0001768060028553009
9,S10,1,1,0.999784529209137
9,S10,0,0,0.00012923008762300014
9,S10,1,1,0.9997413754463196
9,S10,0,0,0.00015905016334727407
9,S10,1,1,0.9998689889907837
10,S12,0,0,0.000537854852154851
10,S12,1,0,0.062328558415174484
10,S12,1,1,0.9992376565933228
10,S12,1,0,0.00048186007188633084
10,S12,0,0,0.00045167107600718737
10,S12,1,0,0.0005875647766515613
10,S12,1,1,0.9815835356712341
11,S13,0,0,0.001007388229481876
11,S13,0,0,0.001641434384509921
11,S13,0,0,0.0016440064646303654
11,S13,0,0,0.001129751792177558
11,S13,1,0,0.0010716363321989775
11,S13,1,0,0.001339840004220605
12,S14,1,0,0.00012484798207879066
12,S14,0,0,0.0001151178585132584
12,S14,1,0,0.00013329577632248402
12,S14,0,0,0.00012286152923479676
12,S14,1,1,0.9998132586479187
12,S14,1,1,0.9998692274093628
12,S14,1,1,0.9998775720596313
12,S14,1,1,0.999711811542511
13,S15,0,0,0.0005444599082693458
13,S15,0,0,0.0007155474158935249
13,S15,0,0,0.0009051106171682477
13,S15,1,1,0.9995482563972473
13,S15,1,0,0.001381616573780775
13,S15,1,1,0.9994834661483765
14,S16,0,0,0.0010755027178674936
14,S16,0,0,0.0016261349665001035
14,S16,0,0,0.0006566099473275244
14,S16,0,0,0.0005381564260460436
14,S16,0,0,0.00046873517567291856
14,S16,0,0,0.01500349584966898
14,S16,0,1,0.9799939393997192
14,S16,0,0,0.0004321613523643464
15,S17,0,0,0.0002486002922523767
15,S17,1,1,0.9990504384040833
15,S17,1,0,0.010757345706224442
15,S17,1,0,0.149220809340477
15,S17,0,0,0.0002893053460866213
15,S17,1,1,0.9996833801269531
15,S17,1,0,0.00024788218433968723
16,S18,0,0,0.0003403884475119412
16,S18,1,1,0.9998719692230225
16,S18,0,1,0.6881870627403259
16,S18,0,0,0.048844750970602036
16,S18,0,0,0.00016598225920461118
16,S18,1,0,0.000118945179565344
16,S18,0,0,0.00014291562547441572
16,S18,1,1,0.9998698234558105
16,S18,0,1,0.9998869895935059
16,S18,1,1,0.9998840093612671
16,S18,0,0,0.0001111883539124392
16,S18,1,1,0.9998902082443237
16,S18,1,1,0.9998472929000854
16,S18,1,1,0.9940073490142822
17,S19,0,0,0.00012142546620452777
17,S19,0,0,0.00031119861523620784
17,S19,0,0,0.00010709844355005771
17,S19,1,1,0.9998674392700195
17,S19,0,0,0.00011804769019363448
17,S19,0,1,0.9998868703842163
17,S19,0,1,0.9953368306159973
17,S19,0,0,0.00023150249035097659
17,S19,1,1,0.9998642206192017
17,S19,0,0,0.00010517933696974069
17,S19,0,0,0.001979350345209241
17,S19,1,1,0.9996501207351685
17,S19,0,0,0.0006243792595341802
17,S19,1,1,0.6681013107299805
17,S19,1,1,0.9998701810836792
17,S19,1,1,0.9998736381530762
17,S19,1,1,0.999711811542511
18,S20,0,0,0.0009362632408738136
18,S20,0,0,0.0014635189436376095
18,S20,0,0,0.0009822803549468517
18,S20,0,0,0.0027199010364711285
18,S20,0,0,0.0028998444322496653
18,S20,1,1,0.9923542737960815
18,S20,1,1,0.9993108510971069
19,S21,0,0,0.00020122624118812382
19,S21,0,0,0.00020174492965452373
19,S21,0,0,0.0002261631452711299
19,S21,0,0,0.0002662676270119846
19,S21,0,0,0.000260996661381796
19,S21,1,0,0.00026819860795512795
20,S22,1,0,0.0001378017186652869
20,S22,0,1,0.9859670996665955
20,S22,1,0,0.0003397063410375267
20,S22,1,1,0.9999066591262817
20,S22,1,1,0.9999064207077026
20,S22,1,1,0.9998353719711304
20,S22,1,1,0.9999070167541504
20,S22,1,1,0.9999115467071533
20,S22,1,1,0.9999080896377563
20,S22,1,1,0.9999104738235474
20,S22,1,1,0.9999070167541504
20,S22,0,0,0.030413202941417694
20,S22,1,1,0.9998717308044434
20,S22,1,1,0.9994352459907532
21,S23,0,1,0.7172956466674805
21,S23,0,0,0.0012653290759772062
21,S23,0,0,0.00109453359618783
21,S23,0,0,0.012271194718778133
21,S23,0,0,0.0438002347946167
21,S23,1,1,0.9930986762046814
21,S23,1,1,0.9949344992637634
21,S23,1,0,0.01639520563185215
21,S23,1,1,0.9969260096549988
21,S23,1,1,0.992913544178009
21,S23,1,1,0.9984713196754456
21,S23,1,1,0.9979462027549744
22,S24,0,0,0.00017053194460459054
22,S24,0,0,0.00015865633031353354
22,S24,0,0,0.0001590754691278562
22,S24,0,0,0.00018759841623250395
22,S24,0,0,0.00016795963165350258
22,S24,0,0,0.00015886311302892864
22,S24,0,0,0.00026339400210417807
22,S24,1,1,0.9998414516448975
22,S24,1,1,0.999848484992981
22,S24,1,1,0.9998629093170166
22,S24,1,1,0.9998495578765869
22,S24,1,1,0.9998593330383301
22,S24,0,0,0.00027168329688720405
23,S25,0,1,0.9996707439422607
23,S25,0,1,0.9702658653259277
23,S25,1,0,0.00039409371674992144
23,S25,0,1,0.9998310804367065
23,S25,0,0,0.0002075068186968565
23,S25,1,1,0.9993689656257629
23,S25,1,1,0.9997097849845886
23,S25,1,1,0.9998360872268677
23,S25,1,0,0.0004126767162233591
23,S25,1,1,0.9998186230659485
23,S25,1,1,0.9998396635055542
23,S25,0,1,0.9933324456214905
23,S25,0,0,0.0004415961157064885
23,S25,1,0,0.14973200857639313
24,S26,0,0,0.028215980157256126
24,S26,0,0,0.0018678379710763693
24,S26,1,1,0.9997145533561707
24,S26,1,1,0.9996509552001953
24,S26,1,1,0.9998805522918701
24,S26,1,1,0.9997913241386414
24,S26,1,1,0.9998860359191895
25,S27,0,1,0.9983434677124023
25,S27,0,1,0.6013383269309998
25,S27,0,0,0.0015892047667875886
25,S27,0,1,0.9990087151527405
25,S27,0,1,0.8830008506774902
25,S27,0,0,0.012189136818051338
25,S27,1,1,0.9987038373947144
26,S28,1,1,0.9997755885124207
26,S28,0,1,0.9765150547027588
26,S28,0,0,0.0016654959181323647
26,S28,0,0,0.0004578478983603418
26,S28,1,1,0.9998238682746887
26,S28,1,1,0.9997959733009338
26,S28,0,1,0.9995444416999817
27,S29,0,0,0.00011087211896665394
27,S29,1,0,0.013760552741587162
27,S29,1,1,0.9519202709197998
27,S29,1,0,0.00012906728079542518
27,S29,1,1,0.9702255725860596
27,S29,1,0,0.0007809544913470745
27,S29,1,0,0.367229163646698
27,S29,1,0,0.000924687716178596
27,S29,0,0,0.00011800018546637148
27,S29,1,1,0.9998773336410522
27,S29,1,1,0.9999121427536011
27,S29,1,0,0.0006324719288386405
27,S29,1,1,0.999915599822998
27,S29,1,1,0.9999113082885742
27,S29,1,1,0.9998998641967773
27,S29,1,1,0.9999027252197266
27,S29,1,1,0.9999130964279175
27,S29,1,1,0.9880442023277283
27,S29,0,1,0.9999125003814697
27,S29,1,0,0.00014094838115852326
28,S30,0,0,0.05936189368367195
28,S30,1,1,0.9998592138290405
28,S30,0,0,0.00014265991922002286
28,S30,0,0,0.10957442224025726
28,S30,0,0,0.00018786423606798053
28,S30,0,1,0.9998575448989868
28,S30,0,0,0.0010145965497940779
28,S30,0,0,0.00012631692516151816
28,S30,0,0,0.0001523983373772353
28,S30,0,0,0.00019746743782889098
28,S30,0,0,0.00031113834120333195
28,S30,1,1,0.999868631362915
28,S30,0,1,0.9998528957366943
29,S31,0,1,0.999284565448761
29,S31,0,0,0.0003188137197867036
29,S31,0,0,0.00032874062890186906
29,S31,0,0,0.00043499688035808504
29,S31,0,0,0.00031325846794061363
29,S31,0,0,0.0003363726718816906
29,S31,0,1,0.9991371035575867
29,S31,0,0,0.0004692381189670414
30,S32,0,0,0.012358895502984524
30,S32,0,0,0.0003410759672988206
30,S32,0,0,0.00032306977664120495
30,S32,0,0,0.0005165907787159085
30,S32,0,0,0.05135738104581833
30,S32,0,0,0.00034647664870135486
30,S32,1,1,0.9995031356811523
31,S33,1,1,0.999882698059082
31,S33,1,1,0.9997408986091614
31,S33,1,1,0.999903678894043
31,S33,1,1,0.9998534917831421
31,S33,1,1,0.999887228012085
31,S33,1,1,0.9998658895492554
32,S34,0,0,8.269761747214943e-05
32,S34,0,0,8.654989505885169e-05
32,S34,1,0,8.953877113526687e-05
32,S34,0,0,8.804319077171385e-05
32,S34,0,0,8.682160841999575e-05
32,S34,0,0,0.0003223473613616079
32,S34,1,1,0.9999005794525146
33,S35,0,0,0.0007238311227411032
33,S35,0,0,0.0005496051744557917
33,S35,0,1,0.9936572909355164
33,S35,0,0,0.0005396861233748496
33,S35,0,0,0.02298625186085701
33,S35,1,1,0.9879472851753235
34,S36,0,1,0.9228732585906982
34,S36,1,1,0.9988221526145935
