fold,test_subject,y_true,y_pred,p1
1,S01,0,1,0.9792534112930298
1,S01,0,0,0.05853020399808884
1,S01,1,1,0.999542236328125
1,S01,1,1,0.9975099563598633
1,S01,1,0,0.1346585899591446
1,S01,1,1,0.9965685606002808
1,S01,1,1,0.9997926354408264
1,S01,1,1,0.9574804902076721
1,S01,0,0,0.48411503434181213
1,S01,1,1,0.9853345155715942
1,S01,1,1,0.8083760738372803
1,S01,1,1,0.9902003407478333
1,S01,0,1,0.9898303151130676
1,S01,1,1,0.9956640601158142
1,S01,1,1,0.9025143980979919
2,S02,0,0,3.3559299481566995e-06
2,S02,0,1,0.7575416564941406
2,S02,0,0,0.015033631585538387
2,S02,0,0,0.0007263179868459702
2,S02,0,0,0.012308303266763687
2,S02,1,1,0.8410859704017639
2,S02,1,1,0.7910066843032837
3,S03,0,1,0.9998064637184143
3,S03,0,1,0.7934569716453552
3,S03,0,1,0.8331152200698853
3,S03,0,0,0.006969215348362923
3,S03,1,0,0.34673255681991577
3,S03,0,0,0.06507650762796402
4,S05,0,0,0.24246978759765625
4,S05,1,1,0.9977631568908691
4,S05,0,0,0.042521774768829346
4,S05,1,0,0.11139391362667084
4,S05,1,1,0.9999616146087646
4,S05,1,0,0.007528206799179316
4,S05,1,0,0.001503030420280993
4,S05,0,1,0.9683662056922913
5,S06,1,1,0.6649982929229736
5,S06,0,1,0.6977758407592773
5,S06,1,0,0.26303020119667053
5,S06,1,0,0.003026509890332818
5,S06,0,0,0.09268741309642792
5,S06,0,1,0.9996864795684814
5,S06,1,1,0.9999903440475464
5,S06,0,1,0.9999878406524658
6,S07,0,1,0.996819257736206
6,S07,1,0,0.12852118909358978
6,S07,0,0,0.14734183251857758
6,S07,0,1,0.8889347910881042
6,S07,0,1,0.8781130909919739
6,S07,1,1,0.9920404553413391
6,S07,1,1,0.9999974966049194
7,S08,1,0,3.801810453296639e-05
7,S08,0,0,0.10567427426576614
7,S08,0,0,0.27229440212249756
7,S08,0,1,0.9998661279678345
7,S08,0,1,0.6569223999977112
7,S08,1,1,0.9163123965263367
7,S08,0,1,0.9991699457168579
7,S08,1,1,0.9997513890266418
7,S08,0,0,0.1130361333489418
7,S08,0,0,0.21288172900676727
7,S08,0,1,0.965568482875824
7,S08,1,1,0.9999715089797974
7,S08,1,1,0.9578571319580078
7,S08,1,1,0.993787944316864
7,S08,0,1,0.9999791383743286
7,S08,0,1,0.999834418296814
8,S09,0,0,0.00332439411431551
8,S09,1,0,0.00040084010106511414
8,S09,1,1,0.9760041236877441
8,S09,0,0,1.0903098882408813e-05
8,S09,1,0,0.0006330155883915722
8,S09,1,0,0.05230683088302612
8,S09,1,0,0.0005049899336881936
8,S09,1,0,0.00042777330963872373
8,S09,1,0,0.0015952225076034665
8,S09,1,0,0.00016026788216549903
9,S10,0,0,0.008223201148211956
