fold,test_subject,y_true,y_pred,p1
1,S01,0,1,0.8379358053207397
1,S01,0,0,0.006456939969211817
1,S01,1,0,1.2278229633011506e-06
1,S01,1,1,0.9894911050796509
1,S01,1,0,0.005071531515568495
1,S01,1,1,1.0
1,S01,1,1,1.0
1,S01,1,1,0.9961436986923218
1,S01,0,1,0.7081501483917236
1,S01,1,1,0.9999958276748657
1,S01,1,0,0.016276173293590546
1,S01,1,0,0.43313896656036377
1,S01,0,0,1.268223172701255e-06
1,S01,1,0,4.90930801788636e-07
1,S01,1,1,0.594322919845581
2,S02,0,0,0.0001370994868921116
2,S02,0,0,6.376063538482413e-05
2,S02,0,0,0.0011623706668615341
2,S02,0,0,0.09591688960790634
2,S02,0,0,0.04327227920293808
2,S02,1,0,0.014492964372038841
2,S02,1,0,5.845730015607842e-07
3,S03,0,1,0.9903733730316162
3,S03,0,1,0.9999964237213135
3,S03,0,1,0.6448980569839478
3,S03,0,0,3.491324241622351e-05
3,S03,1,1,0.9999991655349731
3,S03,0,0,0.00017488835146650672
4,S05,0,0,1.7852407836471684e-05
4,S05,1,1,0.9404511451721191
4,S05,0,0,0.004630289506167173
4,S05,1,0,0.004519886802881956
4,S05,1,0,0.017470194026827812
4,S05,1,1,0.8028861284255981
4,S05,1,0,8.981211152558899e-08
4,S05,0,1,0.5731900930404663
5,S06,1,1,1.0
5,S06,0,1,0.9999957084655762
5,S06,1,1,0.9987731575965881
5,S06,1,1,0.955244243144989
5,S06,0,0,0.37427011132240295
5,S06,0,1,0.8079096078872681
5,S06,1,1,0.9516831040382385
5,S06,0,1,1.0
6,S07,0,0,0.18767403066158295
6,S07,1,1,0.5050676465034485
6,S07,0,1,0.9104440212249756
6,S07,0,1,0.9978553652763367
6,S07,0,0,1.8537491996539757e-05
6,S07,1,1,0.9268043637275696
6,S07,1,1,0.9999783039093018
7,S08,1,0,2.7199393848320597e-09
7,S08,0,0,1.1722665504976248e-08
7,S08,0,0,2.7453373263597314e-07
7,S08,0,0,0.0016958065098151565
7,S08,0,0,0.023028261959552765
7,S08,1,0,0.0004238047113176435
7,S08,0,0,0.25847315788269043
7,S08,1,1,0.8888071179389954
7,S08,0,1,0.9504492282867432
7,S08,0,0,0.3854576647281647
7,S08,0,1,0.5998654961585999
7,S08,1,1,1.0
7,S08,1,0,0.22289544343948364
7,S08,1,0,0.013162996619939804
7,S08,0,1,0.9052828550338745
7,S08,0,0,0.4792293906211853
8,S09,0,0,0.02956577017903328
8,S09,1,0,8.265178621513769e-07
8,S09,1,1,0.9196629524230957
8,S09,0,0,1.1238158492687944e-07
8,S09,1,0,0.02774883434176445
8,S09,1,0,0.3821471035480499
8,S09,1,0,0.2747235894203186
8,S09,1,0,0.015969092026352882
8,S09,1,0,0.00044833976426161826
8,S09,1,0,0.00011129252379760146
